username,tweet_text,date,happy,angry,surprise,sad,fear,afinn,bing,sid,bertweet,bertweet_confidence
bds_vancouver,highlights of vancouvers july 22 action to say shame on scotiabank and shutelbitdown scotiabank is the largest foreign investor in israeli arms company elbit systems,jul 31 2023  149 am utc,0.0,0.0,0.0,0.2,0.8,-2,-1,-0.4767,-1,0.8852071762084961
XCornPop,usd rebound likely to run out of momentum  scotiabank,aug 1 2023  414 am utc,0.0,0.0,1.0,0.0,0.0,0,0,0.0,-1,0.5971269607543945
zainkhalidz,beginning july 24 all scotiabank women initiative participants will have exclusive access to a discount of 50 off one year of pocketed basic plan or pocketed plus plan  scotiasocialmegmj98,aug 1 2023  408 am utc,0.0,0.0,0.0,0.0,1.0,2,0,0.128,0,0.6404121518135071
MattWil40124168,absolute negligence to intentionally lock us in and steal our money criminal,aug 1 2023  357 am utc,0.0,0.0,0.25,0.25,0.5,-5,-3,-0.765,-1,0.9725089073181152
MattWil40124168,we also spoke to a scotia rep on the phone and told them we were going to a different bank scotiabank refused this as evidence and locked us into a closed fixed rate despite clear instruction not to do so they are refusing to help us this is clear malicious intentions,aug 1 2023  356 am utc,0.08,0.17,0.0,0.42,0.33,0,-1,-0.7033,-1,0.9604800343513489
MattWil40124168,i cant dm you i have to be verified basically we had a renewal coming up we chose to go to a different bank as they offered a lower rate we notified you of this by signing a 3rd party document instructing scotiabank to put us into an open rate should it need to be renewed,aug 1 2023  354 am utc,0.0,0.0,0.1,0.1,0.8,0,1,0.128,0,0.9571590423583984
Kriss348315113,newcomers to canada not driving employment gains  scotiabank  a greater burden on canadas social programs msncomencamoneytopstori,jul 31 2023  514 pm utc,0.0,0.0,0.0,0.0,1.0,3,0,-0.3476,-1,0.9533087611198425
rddragster,just like anyone with a brain has been saying for the past year or more  newcomers to canada not driving employment gains  scotiabank msncomencamoneytopstori,aug 1 2023  319 am utc,0.0,0.0,0.0,0.5,0.5,4,2,0.119,-1,0.8873293995857239
DJHLnews,hey folks the tryout registration portal is now open on our home page at djhlca for players interested in trying out for the scotiabank djhl pooled hockey program at u15aa gu15aa  gu13aa,aug 1 2023  1244 am utc,0.2,0.0,0.2,0.2,0.4,2,0,0.4019,0,0.8290557265281677
ScotiabankHelps,hello christina good evening thank you for reaching out to scotiabank canadas twitter support page we are sorry to hear about your inconvenience and are happy to assist please connect via dm  kind regards,aug 1 2023  243 am utc,0.4,0.0,0.0,0.4,0.2,11,2,0.9382,1,0.6045895218849182
MattWil40124168,do not get a mortgage with scotiabank they are criminal i repeat do not get a mortgage with scotiabank complete scumbag of a bank the scummiest of them all and thats saying something they will do everything they can to fuck you without consent,aug 1 2023  235 am utc,0.14,0.0,0.0,0.43,0.43,-9,-2,-0.9147,-1,0.9833353757858276
ScotiabankHelps,hello suz good evening thank you for reaching out to scotiabank canadas twitter support page we are happy to assist with your inquiries connect with us via dm to chat further  kind regards,aug 1 2023  141 am utc,0.5,0.0,0.0,0.25,0.25,13,4,0.9432,1,0.9755033850669861
TomTSEC,newcomers to canada not driving employment gains  scotiabank msncomencamoneytopstori,jul 31 2023  511 pm utc,0.0,0.0,0.0,0.0,1.0,2,1,-0.2584,-1,0.9260837435722351
russelfab,newcomers to canada not driving employment gains  scotiabank msncomencamoneytopstori wait until all these new canadians see what white mans slavery is all aboutevery time they go to there mail box its another bill to be paidthen they will ask themselves how did i get herelol,aug 1 2023  125 am utc,0.0,0.0,0.5,0.0,0.5,-1,1,-0.7805,-1,0.933588981628418
13inafilmreel,if anyone is selling tickets to these artists dm me   brent faiyaz  arctic monkeys  dominic fike  noah kahan   tate mcrae  laufey  drake   toronto history budweiser stage massey hall danforth scotiabank arena,aug 1 2023  120 am utc,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0,0.8834867477416992
WorkerCanada,foreign worker selection process has collapsed   newcomers to canada not driving employment gains  scotiabank msncomencamoneytopstori,aug 1 2023  108 am utc,0.0,0.0,0.0,0.5,0.5,0,1,-0.4829,-1,0.9563645124435425
moonrubystar,the overwatch league is over the league cant even afford scotiabank arena in toronto wow thats bad theyre having the grand finals this year in an abbreviated maple leaf gardens that doesnt even seat 10000,aug 1 2023  1250 am utc,0.0,0.0,0.5,0.0,0.5,4,2,0.5106,-1,0.9701513648033142
PiQCommentary,scotiabank  economics publications   latam flash colombiabanrep keeps policy rate at 1325  via harksterhq on piqsuitecomsuite iftttkhhtnoc,aug 1 2023  1237 am utc,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0,0.9699450731277466
ScotiabankArena,twice at scotiabank arena is a reason to celebrate   inspired by their song moonlight sunrise we gave jypetwice matching necklaces depicting two moon phases the first is the moon phase on their debut date the second features the moon on their scotiabank arena debut,jul 5 2023  1201 am utc,0.33,0.0,0.0,0.33,0.33,5,1,0.7845,1,0.981665313243866
Our_Today_News,scotiabank american express launch toptier credit card in jamaica  visit the website to read more  bitly3roz0w6  photo contributed  otbusiness,aug 1 2023  1217 am utc,0.0,0.0,0.5,0.0,0.5,0,0,0.3818,0,0.9349874258041382
