username,tweet_text,date,happy,angry,surprise,sad,fear,afinn,bing,sid,bertweet,bertweet_confidence
JuanRendonM,great place to work maybe very bad bank to have an account with for sure  scotiabank vbb verybadbank bloodsuckingbank bancachupasangre,aug 2 2023  1202 am utc,0.2,0.0,0.0,0.0,0.8,0,1,0.3832,-1,0.8970363140106201
DechampsAlan,another security measure thats been put into place since the north york attack or possibly the manchester arena bombing is the closure of traffic around scotiabank arena and skydome during games they put down temporary bollards and have a lot of police present,aug 1 2023  1140 pm utc,0.0,0.0,0.0,0.5,0.5,-1,-1,-0.1779,0,0.9095216989517212
Graff2023,scotiabank economist writes on immigration  we need to be careful when evaluating the possible implications for labour supply employment and wage growth surging immigration may be adding to labour supply but not so much to employment scotiabankcomcaenaboute,aug 1 2023  1115 pm utc,0.0,0.0,0.0,0.43,0.57,4,0,0.2732,0,0.7390528917312622
WrestleTix,wwe friday night smackdown fri  aug 11  545 pm scotiabank saddledome calgary ab  available tickets  1188 current setup  9991 tickets distributed  8803 632 since last weeks update  new 2nd tier sections added,aug 1 2023  1035 pm utc,0.0,0.0,0.0,1.0,0.0,0,1,0.0,0,0.917212963104248
McMorineJames,now that scotiabank has made fhsas available a few days ago will tangerinebank be offering these soon,aug 1 2023  1102 pm utc,0.33,0.0,0.0,0.33,0.33,0,1,0.0,0,0.9158583879470825
nj_inmobiliaria,promoción crédito hipotecario scotiabank informes aquí o en whatsapp   wamemessageteyh4vmjgevvl1,aug 1 2023  1031 pm utc,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.9655364751815796
PurewalAmrit,seriously working hours of scotiabank are shitty have to take early off and then running late to find that bank closes super early scotiabank,aug 1 2023  1011 pm utc,0.25,0.0,0.0,0.25,0.5,0,1,-0.1027,-1,0.9814170002937317
zainkhalidz,beginning july 24 all scotiabank women initiative participants will have exclusive access to a discount of 50 off one year of pocketed basic plan or pocketed plus plan  scotiasocialmeycmwz,aug 1 2023  1002 pm utc,0.0,0.0,0.0,0.0,1.0,2,0,0.128,0,0.6448798179626465
zainkhalidz,community futures partners with scotiabank to launch scaleup program for peterborough entrepreneurs scotiasocialmewgyah,aug 1 2023  1000 pm utc,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0,0.6579723358154297
le_canuck,even the cards you can get at like scotia arent a happy medium because if you dont use it up completely then scotiabank arena just keeps the cash and pockets the difference and youre out,aug 1 2023  947 pm utc,1.0,0.0,0.0,0.0,0.0,5,2,-0.1275,-1,0.8810088634490967
nojla110490,9 reasons to apply for the scotiabank gold american express card  prince of travel newstop92com9reasonstoa,aug 1 2023  938 pm utc,0.0,0.0,0.5,0.5,0.0,0,1,0.0,0,0.8993560671806335
CarnivoreCarnie,debanking is a crime,aug 1 2023  932 pm utc,0.0,0.0,0.0,1.0,0.0,-3,-1,-0.5423,-1,0.9585087895393372
udstree,you did a great job banks only give 50 or max to max 1  i am advisor and put my funds into segregated fund tfsa where i get 1015 in long run with mature and death guarantee,aug 1 2023  928 pm utc,0.11,0.0,0.0,0.11,0.78,4,3,0.6124,1,0.7668823003768921
_jaannelle,ever since scotiabank took over its been whatever now spending independence and dream weekend in jamaica thats what i want,aug 1 2023  925 pm utc,0.0,0.0,0.0,0.0,0.0,2,0,0.3182,1,0.9135295748710632
CdnMortgageNews,scotiabank is back after intentionally slowing its mortgage portfolio last year due to funding constraints the bank is making waves with its latest competitive pricing bringing back greater product choice for brokers and their clients canadianmortgagetrendscom2,jul 31 2023  1144 pm utc,0.0,0.12,0.0,0.25,0.62,5,1,0.4939,1,0.9031422138214111
MattLayden1,btw sncaroline  i hope that you could get a bigger role on hockeynight in addition to scotiabank wednesday night hockey,aug 1 2023  820 pm utc,0.0,0.0,0.0,0.0,1.0,2,0,0.4404,1,0.9431554079055786
Billiegurl35,doing a required annual brief course on confronting racism in the workplace and apparently white people dont have any racism or systemic racism done to them according to scotiabank,aug 1 2023  803 pm utc,0.0,0.0,0.0,0.67,0.33,-9,-3,-0.9313,-1,0.5034372210502625
DeanBercier,community futures partners with scotiabank to launch scaleup program for peterborough entrepreneurs scotiasocialmejggyh,aug 1 2023  801 pm utc,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0,0.6373177766799927
OBAlawyers,we are excited to wrap up oba career accelerator sessions tonight with a skills development discussion featuring rusty juma of volkswagen and jon davey of scotiabank,aug 1 2023  759 pm utc,0.0,0.0,0.0,1.0,0.0,3,0,0.34,1,0.9915862083435059
princeof_travel,the scotiabank gold american express card has great earning rates at grocery stores and entertainment venues here are nine reasons to get this card  princeoftravelcomguides9,aug 1 2023  721 pm utc,0.33,0.0,0.33,0.33,0.0,3,2,0.7845,1,0.9749064445495605
classical963fm,contestalert  the new classical fm wants to give you a chance to win a pair of tickets to see andrerieu at torontos scotiabank arena on september 24th enter on our website now for your chance to win  toronto contest classical music classicalfmcacontestswin,aug 1 2023  720 pm utc,0.0,0.0,0.0,0.0,1.0,12,2,0.891,0,0.5171006917953491
BlueMoonTrades,some upgrades  downgrades from today morning  shop  scotiabank raised the firms price target on shopify to 65 from 60 and keeps a sector perform rating on the shares ahead of the companys q2 report on wednesday   sofi   keefe bruyette downgraded sofi technologies to,aug 1 2023  1234 pm utc,0.0,0.0,0.0,0.0,1.0,1,0,0.296,0,0.886149525642395
kne_unkl,how many have you debanked this year because of their political stand get bent,aug 1 2023  700 pm utc,0.0,0.5,0.0,0.0,0.5,0,-1,0.0,0,0.7252719402313232
CanadaOpinions,hey scotiabank just thought i would share my most recent experience tried to deposit a cheque to my wifes business account milimaka miles management  but the cheque says milimaka moles management  your bank wouldnt take it i was this branchs branch manager from 20082,aug 1 2023  632 pm utc,0.0,0.0,0.17,0.0,0.83,1,0,0.1531,0,0.8542140126228333
MarketsBlock,scotiabank maintains shopify shop ta sector perform and raises the price target from 60 to marketsblockcomstockupgra,aug 1 2023  624 pm utc,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0,0.7268662452697754
gangstas_online,toronto confirmed  1004  scotiabank arena btwnusxyztickets,aug 1 2023  611 pm utc,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0,0.9163064956665039
KingEdwin7,during his internship at scotiabank 19 year old elon discovered an arbitrage play with brady bonds where the bank could 2x their money he made a proposal that was rejected and that convinced musk that banks are not innovative and theyre ready for disruption,aug 1 2023  553 pm utc,0.12,0.0,0.12,0.25,0.5,0,0,-0.1546,-1,0.6570325493812561
KingEdwin7,elons plan of financial innovation and domination began in the late 80s while interning at scotiabank interesting story in the quoted x my thread will focus on the plans   elonmusk had for the original x  and his thoughts on the database that is money,aug 1 2023  553 pm utc,0.33,0.0,0.0,0.33,0.33,3,2,0.7506,0,0.7287414073944092
WalterIsaacson,scotiabank hosts sumptuous banquet to launch american express platinum card  visit the link to read more bitly3rolcbj  photo contributed  follow us fb facebookcomourtodaynews youtube ourtoday twitter our_today_news ig ourtoday  otlife scotiabank,jul 23 2023  933 pm utc,0.0,0.0,0.5,0.5,0.0,0,1,0.0,0,0.8716905117034912
seok_beby,thats the led power ring they are replacing it has needed replacing since i can remember attending games at scotiabank place those greenpurple glitch spots in the neutral zone will not be missed,aug 1 2023  533 pm utc,0.0,0.17,0.0,0.17,0.67,-2,-1,0.2235,1,0.49897465109825134
imstupidhaha,why did it take me so long to realized the bank of nova scotia scotiabank i think im stupid,aug 1 2023  520 pm utc,0.0,0.0,0.0,0.0,1.0,-2,-1,-0.5267,-1,0.8568499088287354
