username,tweet_text,date,happy,angry,surprise,sad,fear,afinn,bing,sid,bertweet,bertweet_confidence
harlivision,which version lol or both,aug 3 2023  143 pm utc,0.0,0.0,0.0,0.0,0.0,3,0,0.4215,0,0.9166322946548462
VonRoos1,oops i didnt open to read that lol,aug 3 2023  143 pm utc,0.0,0.0,0.0,0.0,1.0,3,0,0.4215,0,0.6105517148971558
haleyanne_,thanks you can get it at stiffbladecomproductsdjt  why do i sound like one of those fucking bots rn lol,aug 3 2023  137 pm utc,1.0,0.0,0.0,0.0,0.0,3,0,0.8158,-1,0.5437225699424744
Maselzea,lol you forgot they reminded you the elders,aug 3 2023  143 pm utc,0.0,1.0,0.0,0.0,0.0,3,0,0.4215,0,0.7270130515098572
softwayv,only remember one thing qian kun doesnt need the nct lab to make and release music but the nct lab needs the music he makes   if he wanted he could release the whole thing on soundcloud or even through his personal account which he is alrdy doing lolso,aug 3 2023  336 am utc,0.0,0.0,0.0,0.5,0.5,0,0,0.0,0,0.9339675307273865
lmTheReasonWhy,lie because im breaking all them bullshit generational curses lol,aug 2 2023  815 pm utc,0.0,0.0,0.5,0.0,0.5,-1,-4,-0.25,-1,0.9152141809463501
JaeMajette,mingyu whos trying his best to believe his hoshihyung on the cooking but still keep giving him advices lol,aug 1 2023  1134 pm utc,0.0,0.0,0.0,0.0,1.0,6,1,0.8555,0,0.8063609600067139
GertMellemans,i made them i know you saw the video on ig lol,aug 3 2023  143 pm utc,0.0,0.0,0.0,1.0,0.0,3,0,0.4215,0,0.7620654702186584
ThePoshSessions,lol as if anything coming from you could be an insult have a nice day doofus,aug 3 2023  143 pm utc,0.67,0.0,0.33,0.0,0.0,4,0,0.3182,-1,0.9656344056129456
prinnydoodbro,soon the oil run out you will be back to tents and relations with goats lol,aug 3 2023  143 pm utc,0.0,1.0,0.0,0.0,0.0,3,0,0.4215,-1,0.7640476226806641
KaranLyall,lol i didnt know he has bars,aug 3 2023  143 pm utc,0.0,0.0,0.0,0.0,0.0,3,0,0.4215,0,0.7004662156105042
