username,tweet_text,date,happy,angry,surprise,sad,fear,afinn,bing,sid,bertweet,bertweet_confidence
YRyzo_,no thanks your tm has 6k earnings on ghosts lol ive 100 hours,aug 2 2023  929 pm utc,0.0,0.0,0.0,0.0,0.0,4,0,0.5423,-1,0.6013174653053284
SilentHxH,lol this is ignorance at its finest if what ur saying is true why does sony make exclusives i mean its a business wouldnt they make more money by only making multi platforms,aug 2 2023  929 pm utc,0.0,0.0,0.0,0.75,0.25,1,0,0.4767,-1,0.6676912307739258
loveDublin11,african dude starting a war with france lol will not end well for the burkina faso army,aug 2 2023  846 pm utc,0.0,0.0,0.0,0.0,0.0,1,1,-0.443,-1,0.9411019086837769
SpriterTeam,hex literally made uniswap popular lol it confirms that uniswap is in bed with the government and the bug eating woke plebs it confirms uni is far from decentralized btw xen also sucks which was also made popular by hexicans lol pea brain,aug 1 2023  840 pm utc,0.0,0.0,0.0,0.29,0.71,9,0,0.8271,-1,0.857846200466156
ShepMystic,these took way longer to build then i thought it would lol,aug 2 2023  929 pm utc,0.0,0.0,0.0,0.0,1.0,3,0,0.4215,0,0.47771215438842773
MrBeast,not sure if it helps or just drives up my water bill while i practice over and over  lol,jul 21 2023  1119 pm utc,0.0,0.0,0.33,0.33,0.33,5,0,0.5327,-1,0.690819501876831
canoecurves,i really hope our girl zoe saldana comes back again somehow either for another guardians movie or tv show even if they never become romantically involved like in the comics i still need more scenes of adam warlock  gamora together  gotg3 wasnt nearly enough for me lol,aug 2 2023  929 pm utc,0.0,0.0,0.33,0.0,0.67,7,3,0.732,1,0.9745774269104004
spaceagente,just saw an ad for wing stop now i want some lol,aug 2 2023  929 pm utc,0.0,0.0,0.0,0.0,1.0,3,0,0.2263,1,0.8183174133300781
TCAlexChen2021,no he cant lol bro played 8 games,aug 2 2023  929 pm utc,0.0,0.0,0.0,0.0,1.0,2,0,-0.6776,0,0.8796972036361694
TiaMonae,did he get his pockets picked at mar a lago lol,aug 2 2023  929 pm utc,0.0,0.0,0.0,0.0,0.0,3,-1,0.4215,0,0.9383271336555481
YonahAcoca,the black one is so sweet it looked like the gold one was ready to go in for the kill lol,aug 2 2023  929 pm utc,0.5,0.0,0.5,0.0,0.0,4,3,0.7155,1,0.9616864323616028
alimor999,lol this is missing leg stump or kissing it maxxaverage in odi cricket good t20 bowler,aug 2 2023  929 pm utc,0.0,0.0,0.0,1.0,0.0,4,0,0.802,1,0.733514130115509
EastsideWillieB,theres this guy that wants to marry me except idk if i should be with him cause im smarter than him lol,aug 2 2023  929 pm utc,0.0,0.0,0.0,0.0,0.0,5,1,0.6597,0,0.7000567317008972
ADI_99_EDDY,cocaine does not make dust like that and neither do any other white powder drugs lol so whether its baby powder or not its not any sort of drug,aug 2 2023  929 pm utc,0.0,0.33,0.0,0.33,0.33,5,0,0.1754,0,0.5941952466964722
ScottAdamsSays,lol yeah were so lucky those guys were not revolutionaries,aug 2 2023  803 pm utc,0.5,0.0,0.0,0.5,0.0,7,1,0.796,1,0.7956752777099609
SakutaAsuzawaga,i hope they are too lol,aug 2 2023  929 pm utc,0.0,0.0,0.0,0.0,1.0,5,0,0.6908,1,0.8370447754859924
BarryHebes,deeez nuts aha got yalll if u fell for that come on now lol lmfao aha got u all,aug 2 2023  929 pm utc,0.0,0.33,0.67,0.0,0.0,4,-1,0.6124,0,0.7304248213768005
SHAQ,my kids live in these things even use them for acrobatic shows lol imma kill me within 2 seconds on one i know this,sep 4 2009  357 am utc,0.25,0.0,0.75,0.0,0.0,0,-1,-0.4404,-1,0.9469400644302368
ScottPolhamus,bunny day reposts except the last one thats new lol バニーの日,aug 2 2023  929 pm utc,1.0,0.0,0.0,0.0,0.0,3,0,0.4215,0,0.8614992499351501
SoniverseU,lol post gameplay of your barb not using shouts doing something difficult please,aug 2 2023  928 pm utc,0.0,0.0,1.0,0.0,0.0,3,-1,0.3818,0,0.7999196648597717
Truffypants,sadly but this is most women lol,aug 2 2023  929 pm utc,0.0,0.0,0.0,0.0,0.0,1,-1,0.4969,-1,0.8565523624420166
7Dr3amz,that would already have been changed in my house lol,aug 1 2023  1127 pm utc,0.0,0.0,0.0,0.0,0.0,3,0,0.4215,0,0.956710159778595
