username,tweet_text,tweet_raw,date,happy,angry,surprise,sad,fear,afinn,bing,sid,bertweet,bertweet_confidence
catgirlcreature,im just gonna play honkai in class fuck this league of legends gam eman,IM JUST GONNA PLAY HONKAI IN CLASS FUCK THIS LEAGUE OF LEGENDS GAM EMAN,08/25/2023,0.33,0.0,0.33,0.0,0.33,-4,-1,-0.2732,-1,0.7736307382583618
mooncakephel,i thought of shalltear as soon as i saw briar but wow the vibes are strong,i thought of shalltear as soon as i saw briar but wow the vibes are strong,08/24/2023,0.5,0.0,0.5,0.0,0.0,6,2,0.8922,1,0.9155929684638977
KenApplepi,my other ideas rn are coven something cute like cafe cuties and ummmm bewitching,my other ideas rn are.. coven something cute like cafe cuties and ummmm bewitching??,08/25/2023,1.0,0.0,0.0,0.0,0.0,4,2,0.8271,1,0.604943037033081
lumboggy,the discourse surrounding the new champions splash art has reminded me exactly why the league of legends community is straightup weird as fuck,The discourse surrounding the new champion’s splash art has reminded me exactly why the league of legends community is straight-up weird as fuck,08/25/2023,1.0,0.0,0.0,0.0,0.0,-6,-2,-0.2023,-1,0.9602977633476257
flameswallower,some of these concepts and characters have hellraiserlevel potential,some of these concepts and characters have Hellraiser-level potential,08/25/2023,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0,0.5533473491668701
artbynips,love the new lol champ design so here she is briar  artoflegends wip,Love the new LoL champ design so here she is: Briar 🩸 #ArtofLegends #WIP,08/25/2023,0.5,0.0,0.5,0.0,0.0,6,2,0.8779,1,0.9916821718215942
peclemz,league of legends,league of legends,08/25/2023,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.7530611753463745
JumaraloHexCore,inkshadow yone concept art  league of legends by luca xu  artstationcomartworkzp95q,Inkshadow Yone Concept Art - League of Legends by Luca Xuartstation.com/artwork/zP95Q…,08/24/2023,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.8973681330680847
KenApplepi,what if dark cosmic briar  i had to doodle it very fast,What if.. Dark Cosmic Briar?? I had to doodle it very fast!!,08/25/2023,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0,0.959588885307312
flameswallower,i just think if there was morelikebarkerian libidinal energy in therenot even like sex scenes just that energy that eroticismit wouldve been so so great,i just think if there was more...like...barkerian libidinal energy in there...not even like sex scenes just that *energy* that eroticism...it wouldve been so so great,08/25/2023,1.0,0.0,0.0,0.0,0.0,5,2,0.906,1,0.9094645380973816
imckfolder,20230825  changkyun on bbl  kyun said min taught him lol league of legends during covid and now his tier is higher than mins   shared chat between ck  mh  teacher 　　  your teaching has made me a true jungler  wow you made it up there  아이엠 민혁,[2023.08.25] 🫧 Changkyun on bblKyun said Min taught him LOL (League of Legends) during Covid and now his tier is higher than Mins—————Shared chat between CK & MH:🐱: Teacher　　  Your teaching has made me a true jungler🐶: Wow you made it up there#아이엠 #민혁,08/25/2023,0.0,0.0,0.2,0.8,0.0,8,1,0.8957,1,0.9852945804595947
JakeSucky,riot games issued paper rex a warning for teabagging at valorant champs,Riot Games issued Paper Rex a warning for teabagging at Valorant Champs,08/25/2023,0.0,0.0,0.0,0.0,1.0,-5,-1,-0.4939,-1,0.5119225382804871
ahrifoxlovers,new champion briar fanart artist 生气也要好好吃饭 weibo  leagueoflegends artoflegends lol fanart lolfanart wildrift riotgames briar,New champion Briar fanartArtist: 生气也要好好吃饭 /Weibo#LeagueOfLegends #ArtofLegends #lol #fanart #lolfanart #wildrift #RiotGames #Briar,08/25/2023,1.0,0.0,0.0,0.0,0.0,3,1,0.7717,0,0.9284486770629883
ChimesCollector,uh oh actually really nice idea,uh oh actually... really nice idea,08/25/2023,1.0,0.0,0.0,0.0,0.0,3,1,0.4754,1,0.9717257618904114
KenApplepi,riot has gone full loli with briar lol,riot has gone full loli with briar lol,08/25/2023,0.0,0.0,0.0,0.0,1.0,1,0,-0.2023,0,0.8019315600395203
Vanillaflavour9,love the new lol champ design so here she is briar  artoflegends wip,Love the new LoL champ design so here she is: Briar 🩸 #ArtofLegends #WIP,08/25/2023,0.5,0.0,0.5,0.0,0.0,6,2,0.8779,1,0.9916821718215942
zvvvvnnnnnnnn,im back with briar,Im back with Briar ♡,08/25/2023,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.9145912528038025
ladyofmorh,its my favorite color as well,its my favorite color as well ;-;,08/24/2023,0.5,0.0,0.0,0.5,0.0,2,2,0.6249,1,0.9798954725265503
ll62593543,luxiem ikenography akurylic mystart drawluca yaminoart  thank you,#Luxiem#Ikenography #Akurylic #MystArt #drawluca #YaminoArt Thank you💙❤️🧡💛💜,08/25/2023,0.0,0.0,0.0,0.0,0.0,2,1,0.3612,1,0.5921181440353394
arara_,sliceofike luxiemkara hang on babe ike is explaining about vocaloid,#SliceOfIke #LuxiemkaraHang on babe Ike is explaining about Vocaloid,08/25/2023,0.0,0.0,0.0,0.0,0.0,0,-1,0.0,0,0.9528179168701172
AStrawberryL0L,briar appreciation doodlewip leagueoflegends,#briar appreciation doodle/wip💕 #Leagueoflegends,08/25/2023,0.0,0.0,0.0,0.0,0.0,2,0,0.5106,1,0.7664220929145813
vatheja,jennifers body 2009 nitternetiwebstatus169 nitternetscreamnhorrorst,JENNIFER’S BODY (2009) nitter.net/i/web/status/169… nitter.net/screamnhorror/st…,08/24/2023,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.9574195742607117
drawmalphite,inkshadow yone concept art  league of legends by luca xu  artstationcomartworkzp95q,Inkshadow Yone Concept Art - League of Legends by Luca Xuartstation.com/artwork/zP95Q…,08/25/2023,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.8973681330680847
JumaraloHexCore,l riot games now after the match between eg and prx just bcs prx teabagging eg players while eg players shooting dead bodies and so on,L Riot Games now after the match between EG and PRX just bcs PRX teabagging EG players while EG players shooting dead bodies and so on.,08/24/2023,0.0,0.0,0.0,0.0,1.0,-5,-1,-0.836,-1,0.9631985425949097
rikki9821,love the new lol champ design so here she is briar  artoflegends wip,Love the new LoL champ design so here she is: Briar 🩸 #ArtofLegends #WIP,08/25/2023,0.5,0.0,0.5,0.0,0.0,6,2,0.8779,1,0.9916821718215942
