username,tweet_text,tweet_raw,date,happy,angry,surprise,sad,fear,afinn,bing,sid,bertweet,bertweet_confidence
LeagueHardstuck,run while you can   league of legends leagueoflegends,Run... while you can! 🐺🩸 - League of Legends #LeagueOfLegends,08/25/2023,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,0.5055705904960632
ConverseEsports,rising to the top cvus next league of legends player will srttyly dominate top lane   please help us in welcoming _srtty to our league of legends roster  govalkyries,Rising to the top CVUs next League of Legends player will SRTTY-ly dominate top lane! 🔝⭐️Please help us in welcoming @_Srtty to our League of Legends roster!#GoValkyries,08/02/2023,0.33,0.0,0.67,0.0,0.0,7,3,0.8402,1,0.9823135733604431
JakeSucky,riot games issued paper rex a warning for teabagging at valorant champs,Riot Games issued Paper Rex a warning for teabagging at Valorant Champs,08/25/2023,0.0,0.0,0.0,0.0,1.0,-5,-1,-0.4939,-1,0.5119225382804871
DumbsYT,league of legends player trying out dota 2 for the first time  surely nothing can go wrong  stream link below,League of Legends player trying out DOTA 2 FOR THE FIRST TIMEsurely nothing can go wrong...STREAM LINK BELOW 👇,08/25/2023,0.0,0.0,0.0,0.0,0.0,-2,-1,0.6656,1,0.9072734713554382
Riot_Kassadin,lol                                         league of legends,lol                                         league of legends,08/25/2023,0.0,0.0,0.0,0.0,0.0,3,0,0.4215,1,0.5231692790985107
JkMegenio,repost  battle academia irelia  irelia battleacademia leagueoflegendsfanart league_of_legends skins design,[REPOST] BATTLE ACADEMIA IRELIA 💗#Irelia #Battleacademia #LeagueOfLegendsFanArt #League_of_Legends #Skins #Design,08/25/2023,0.0,0.0,1.0,0.0,0.0,-1,0,-0.3818,0,0.9033396244049072
_joeysticks,oh wow thank you for explaining i had no idea champion cards were actual champions from league of legends,oh wow thank you for explaining! I had no idea champion cards were actual champions from league of legends !!!,08/25/2023,0.67,0.0,0.33,0.0,0.0,5,3,0.9081,1,0.8106788396835327
J7x1033,looked like a league of legends teamfight,Looked like a league of legends teamfight,08/25/2023,0.0,0.0,0.0,0.0,0.0,2,1,0.3612,0,0.9474718570709229
Himmely_art,sona  alt swimsuit  league of legends fanart,Sona - alt swimsuit 🔥[league of legends fanart],08/23/2023,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.9114261865615845
InwaNoireVT,do you know that lor stands for legends of runeterra the world of riots hit game league of legends of course you didnt know j,Do you know that LoR stands for legends of runeterra? The world of riots hit game league of legends? Of course you didnt know! /j,08/25/2023,0.0,0.33,0.0,0.0,0.67,-2,0,-0.5106,0,0.9128747582435608
SenkushaSKS,creative sentinel of senkusha inkzmo   a visionary and creative force within senkusha zmo infuses life into the senkuverse  with a background as a concept artist and illustrator zmo has mastered his artistry through projects for renowned games like league of legends call of duty mobile tower of saviors and arena of valor his expertise lies in crafting immersive visual experiences that elevate gameplay to new heights,Creative Sentinel of Senkusha @inkZMO A visionary and creative force within Senkusha ZMO infuses life into the Senkuverse. With a background as a concept artist and illustrator ZMO has mastered his artistry through projects for renowned games like League of Legends Call of Duty: Mobile Tower of Saviors and Arena of Valor. His expertise lies in crafting immersive visual experiences that elevate gameplay to new heights.,08/25/2023,0.0,0.0,0.17,0.17,0.67,9,6,0.836,1,0.8842747807502747
danilles_,doodles  p arcane jinx jinxarcane league_of_legends silco silcoarcane,Doodles : p #arcane#Jinx #Jinxarcane #League_of_Legends #Silco #silcoarcane,08/24/2023,0.0,0.0,0.0,0.0,0.0,0,-1,0.0,0,0.9471186399459839
foorafff,soul fighter viego  isolde 3d model  league of legends by yuriy porubov  artstationcomartworkbxz9d,Soul Fighter Viego & Isolde 3D Model - League of Legends by Yuriy Porubovartstation.com/artwork/BXz9d…,08/24/2023,0.0,0.0,0.5,0.0,0.5,0,0,0.1531,0,0.9123049974441528
JumaraloHexCore,soul fighter  viego throne artwork  league of legends by goodname studio  artstationcomartworkalay2,Soul Fighter - Viego Throne Artwork - League of Legends by Goodname Studioartstation.com/artwork/Alay2…,08/25/2023,0.0,0.0,1.0,0.0,0.0,0,0,0.1531,0,0.8842601180076599
