username,tweet_text,tweet_raw,date,happy,angry,surprise,sad,fear,afinn,bing,sid,bertweet,bertweet_confidence
NWSTallahassee,heads up folks across north florida the peninsula and south georgia the nasa crew6 mission will be returning to earth tonight wsplashdown est 1217 am et if you look towards the path around 1205a1220a it could be visible a sonic boom cant be ruled out either flwx gawx,Heads up folks across north Florida the peninsula and south Georgia. The @NASA #Crew6 mission will be returning to earth tonight w/splashdown est. 1217 am ET. If you look towards the path around 1205a-1220a it could be visible. A sonic boom cant be ruled out either. #FLwx #GAwx,09/03/2023,0.0,0.0,0.5,0.0,0.5,0,1,0.0,0,0.8088172078132629
MarioNawfal,biden and the doj target elon musk  remember when biden didnt invite elon or mention tesla at the white house electric vehicle summit  well now x tesla and spacex are all being investigatedsued by the biden administration  1 tesla the doj and the sec this week claimed musk used millions of dollars from tesla to secretly build himself a spacious glass structure labelled as house for ceo elon musk  foxs jesse waters described these investigations as having less to do about glass houses and more to do with biden exacting revenge on musk for buying twitter  elon replied to jesse this is one of the funniest things ive ever heard where is this house metaphors dont count  2 xtwitter x got in trouble with the biden administration after refusing to hand over to prosecutors trumps personal twitter data and information  the information included   trumps use of the account   whether others had access to it   whether he might have written draft tweets that he left unposted  twitter initially resisted complying with the search warrant arguing that the order violated trumps constitutional right of free speech resulting in a federal judge holding the company in contempt and fining it 350000  3 spacex it doesnt stop there this week the doj sued spacex for discriminating against refugees in the companys hiring process   they claim the company discourage refugees from applying for positions giving their applications unfair consideration and refusing to hire them even if they were deemed qualified applicants  is elon being targeted for political reasons or is this more about twitterx defending free speech,🚨BIDEN AND THE DOJ TARGET ELON MUSKRemember when Biden didn’t invite Elon or mention Tesla at the White House Electric Vehicle Summit?Well... Now X Tesla and SpaceX are ALL being investigated/sued by the Biden administration!1. TESLA: The DOJ and the SEC this week claimed Musk used millions of dollars from Tesla to secretly build himself a ‘spacious glass structure’ labelled as House for CEO Elon MuskFox’s Jesse Waters described these investigations as having “less to do about glass houses and more to do with Biden exacting revenge on Musk for buying Twitter”Elon replied to Jesse: “This is one of the funniest things I’ve ever heard. Where is this house!? Metaphors don’t count!”2. X/TWITTER: X got in trouble with the Biden Administration after refusing to hand over to prosecutors Trump’s personal Twitter data and information.The information included:- Trump’s use of the account - Whether others had access to it - Whether he might have written draft tweets that he left unposted.Twitter initially resisted complying with the search warrant arguing that the order violated Trump’s constitutional right of free speech resulting in a federal judge holding the company in contempt and fining it $350000.3. SPACEX: It doesn’t stop there… This week the DOJ sued SpaceX for discriminating against refugees in the company’s hiring process. They claim the company discourage refugees from applying for positions giving their applications unfair consideration and refusing to hire them even if they were deemed qualified applicants.Is Elon being targeted for political reasons? Or is this more about Twitter/X defending Free Speech?,09/03/2023,0.06,0.0,0.25,0.34,0.34,-12,0,-0.8503,0,0.9196438789367676
TwitTwatX,twittech  nasa has announced that it will launch its firstever mission to study jupiters trojan asteroids in october 2023  the mission called lucy will be launched aboard a united launch alliance atlas v rocket from cape canaveral space force station in florida nitternettwittwatxstatus,🧑🏻‍💻TwitTech:@NASA has announced that it will launch its first-ever mission to study Jupiter’s Trojan asteroids in October 2023.The mission called Lucy will be launched aboard a United Launch Alliance Atlas V rocket from Cape Canaveral Space Force Station in Florida. nitter.net/TwitTwatX/status…,09/03/2023,0.0,0.0,0.0,0.0,1.0,3,0,0.5267,0,0.6114611029624939
anothercohen,i just showed up to burning man with 10 tons of food and clothes   desperate vcs are offering me positions in their top startup investments in exchange for a warm meal and clean outfit   ive already amassed a sizable position in stripe and spacex   this is how i win,I just showed up to Burning Man with 10 tons of food and clothes. Desperate VCs are offering me positions in their top startup investments in exchange for a warm meal and clean outfit. I’ve already amassed a sizable position in Stripe and SpaceX. This is how I win,09/03/2023,0.0,0.0,0.33,0.17,0.5,6,2,0.7845,1,0.8472654223442078
stiffmeister_md,thought to share another fancam to give a perspective on how relatively small the stage was for the 5 of them and their very dynamic choreography yung mga props ni jvke nasa likod and couldnt be moved anymore and because they came from a place of nothing before i used this word loosely obviously where they had to share 23 mics work with subpar equipments and technical glitches they were able to make it work like it was easypeasy but i bet it was challenging so if yall see some small issues with choreo remember the environment they had to adapt to wala lang i just admire them more because of their professionalism and flexibility tapos parang wala lang carry lang nagworry pa kami for nothing lol galing nyo sobra   the view up top wasnt that great  pls excuse the cable hanging from the ceiling and blocking the view    sb19official sb19 jvkewhattourfeelslikewithsb19,Thought to share another fancam to give a perspective on how relatively small the stage was for the 5 of them and their very dynamic choreography. Yung mga props ni jvke nasa likod and couldn’t be moved anymore. And because they came from a place of “nothing” before (I used this word loosely obviously where they had to share 2-3 mics work with subpar equipments and technical glitches) they were able to make it work like it was easy-peasy but I bet it was challenging. So if y’all see some small issues with choreo remember the environment they had to adapt to. Wala lang I just admire them more because of their professionalism and flexibility tapos parang wala lang carry lang. Nagworry pa kami for nothing lol Galing nyo sobra 🥹The view up top wasn’t that great 😅 pls excuse the cable hanging from the ceiling and blocking the view ✌🏻 @SB19Official #SB19 #JVKEWhatTourFeelsLikeWithSB19,09/03/2023,0.08,0.08,0.08,0.15,0.62,13,4,0.5461,0,0.6606553792953491
elonmusk,spacex bringing nasa astronauts back to earth tomorrow,SpaceX bringing @NASA astronauts back to Earth tomorrow,09/03/2023,0.0,0.0,0.5,0.5,0.0,0,0,0.0,0,0.8834782242774963
cullenyans,well according to new photography captured by the nasa lunar reconnaissance orbiter the moon is now sporting a new crater its the imprint left from the luna 25 crash a few weeks ago of course the number of craters on the moon is always changing but the lunar surface is pockmarked with tens and tens of thousands of craters many of which are several miles across needless to say that old rock certainly has a lot of scars,Well according to new photography captured by the #NASA Lunar Reconnaissance Orbiter the Moon is now sporting a new crater! It’s the imprint left from the Luna 25 crash a few weeks ago. Of course the number of craters on the Moon is always changing but the Lunar surface is pockmarked with tens and tens of thousands of craters many of which are several miles across. Needless to say that old rock certainly has a lot of scars!,09/03/2023,0.1,0.1,0.1,0.6,0.1,-2,-2,0.4497,0,0.9402933716773987
nasa322541,pretty neat seeing the spacex ship in savannah georgia elonmusk what is this vessel used for,Pretty neat seeing the @SpaceX ship in Savannah Georgia! @elonmusk What is this vessel used for?,09/03/2023,1.0,0.0,0.0,0.0,0.0,1,2,0.7351,1,0.8584391474723816
SpaceX,thought to share another fancam to give a perspective on how relatively small the stage was for the 5 of them and their very dynamic choreography yung mga props ni jvke nasa likod and couldnt be moved anymore and because they came from a place of nothing before i used this word loosely obviously where they had to share 23 mics work with subpar equipments and technical glitches they were able to make it work like it was easypeasy but i bet it was challenging so if yall see some small issues with choreo remember the environment they had to adapt to wala lang i just admire them more because of their professionalism and flexibility tapos parang wala lang carry lang nagworry pa kami for nothing lol galing nyo sobra   the view up top wasnt that great  pls excuse the cable hanging from the ceiling and blocking the view    sb19official sb19 jvkewhattourfeelslikewithsb19,Thought to share another fancam to give a perspective on how relatively small the stage was for the 5 of them and their very dynamic choreography. Yung mga props ni jvke nasa likod and couldn’t be moved anymore. And because they came from a place of “nothing” before (I used this word loosely obviously where they had to share 2-3 mics work with subpar equipments and technical glitches) they were able to make it work like it was easy-peasy but I bet it was challenging. So if y’all see some small issues with choreo remember the environment they had to adapt to. Wala lang I just admire them more because of their professionalism and flexibility tapos parang wala lang carry lang. Nagworry pa kami for nothing lol Galing nyo sobra 🥹The view up top wasn’t that great 😅 pls excuse the cable hanging from the ceiling and blocking the view ✌🏻 @SB19Official #SB19 #JVKEWhatTourFeelsLikeWithSB19,09/03/2023,0.08,0.08,0.08,0.15,0.62,13,4,0.5461,0,0.6606553792953491
saechie_,they were at 1080 forever not 720 iirc nasa was the weird one stuck at 720 for ages,They were at 1080 forever not 720 iirc. NASA was the weird one stuck at 720 for ages.,09/03/2023,0.0,0.5,0.0,0.0,0.5,-4,-2,-0.4019,0,0.7759270071983337
immabed,i think the problem is midterm longterm a lot of us expect commercial space will grow and more activities become selfsustaining the problem is that we need nasausg to bridge the midterm and it hasnt embraced the role yet,I think the problem is mid-term. Long-term a lot of us expect commercial space will grow and more activities become self-sustaining. The problem is that we need NASA/USG to bridge the midterm and it hasn’t embraced the role yet.,09/03/2023,0.17,0.0,0.0,0.33,0.5,-4,-2,-0.6597,-1,0.5380063652992249
