username,tweet_text,date,happy,angry,surprise,sad,fear,afinn,bing,sid,bertweet,bertweet_confidence
Bertie88966719,bankofamerica is as bad avoid tdbank_us also,aug 7 2023  435 am utc,0.0,0.0,0.0,0.0,0.0,-4,-1,-0.6908,-1,0.9816505312919617
1cryptocaveman,the scammers are getting just dumb really tdbank uses hotmail,aug 7 2023  102 am utc,0.0,0.0,0.0,0.0,0.0,-3,-1,-0.5106,-1,0.9791679382324219
TDBank_US,hey dwayne we saw your tweet and would like to provide some more information feel free to send us a dm so we can review no account numbers please kody,aug 6 2023  1119 pm utc,0.17,0.0,0.17,0.0,0.67,3,2,0.7322,0,0.9048089981079102
aldinger68,that would be hundreds of commercial banks the biggest jpmorgan chase 173 bank of america 169 wells fargo 158 citigroup 148 morgan stanley 123 goldman sachs 117 bank of new york mellon 114 us bancorp 113 td bank 107 pnc financial services 105,aug 7 2023  644 am utc,0.0,0.0,0.0,0.0,1.0,0,0,0.25,0,0.9224938154220581
chokhlerzol,nothing much only too many td bank elchappo he needs to send to canada or mexico too much money whats up with christie  swamp monsters swampmonstersnewstalesfrom,aug 7 2023  137 am utc,0.0,0.0,0.0,0.0,1.0,0,0,0.0,-1,0.9738374948501587
ship_steward,janette t labbaomnl via referrals rubenelmer soliman leonardo o borja a counterfeit  currencybondsassets fake financial instruments wirecard jan michael gutierrez neil perez balba wcd ny fed res swift hack  b td bank hack adamas intl network,aug 6 2023  1033 pm utc,0.0,0.0,0.0,0.33,0.67,-1,-2,-0.3182,0,0.8265364766120911
ship_steward,who funds the century initiative which lobbies for canadas population to increase to 100 million through immigration   finance   bank of montreal   scotiabank  td bank  power corporation of canada  corporations  agt food and ingredients  business council of canada,aug 6 2023  1022 pm utc,0.0,0.17,0.0,0.0,0.83,1,0,0.3182,0,0.9117857813835144
mythoscanada,kindly contact to  email lawful policy lawfulpolicygmailcom tel 1636 8469571 he is waiting for td bank representative to resolve this matter immediately  because it has been too long  please inform me to know a result,aug 6 2023  1023 pm utc,0.14,0.0,0.14,0.0,0.71,4,2,0.8034,0,0.9253684878349304
peterpham681,this one is td bank,aug 6 2023  841 pm utc,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0,0.9617664813995361
geoeconomic10,cprivate is provided for you here her gf the gf of jm gutierrez hacker of td bank her gf erma towle saved her from being scammed by serial fraudster ceazar fradejas  target in the group photo lost c800k to bountree scam 4yrs earlier exim credit anametrics,aug 6 2023  825 pm utc,0.0,0.0,0.2,0.2,0.6,-7,-2,-0.6249,0,0.8568219542503357
ship_steward,new report by td bank  the permanent decline of canadian living standards canadian living standards are poised to drop even as virtually every other country gets richer  nationalpostcomopinionper,aug 6 2023  819 pm utc,0.0,0.0,0.0,0.0,1.0,-3,1,0.5106,-1,0.844554603099823
ship_steward,the free td bank ones,aug 6 2023  611 pm utc,0.5,0.0,0.0,0.0,0.5,1,1,0.5106,0,0.8418830633163452
James_Mc666,was looking over junk mail and realized i got sent an actual bank statement from td bank with my info and 0 balancei dont even have an account there and never have wtf im gonna call them tomorrow to try to figure this bs outbut im kinda pissed,aug 6 2023  433 pm utc,0.0,0.2,0.0,0.2,0.6,-8,-2,-0.2108,-1,0.9769644141197205
TheProductParce,we would be glad to review this tony wed kindly ask you to send us a dm in order for us to learn more jared,aug 6 2023  122 pm utc,0.5,0.0,0.0,0.0,0.5,3,2,0.7351,1,0.9008837938308716
TDBank_US,hello tony we saw your tweet and would like to learn more please send us a pm with more details and dont provide any account numbers jared,aug 6 2023  1209 pm utc,0.0,0.0,0.0,0.0,1.0,3,1,0.624,0,0.9467613697052002
TDBank_US,youre the sunflowers to our field  the rain to our crops  together we grow something amazing happy national farmers market week  ec,aug 6 2023  1204 pm utc,0.4,0.0,0.2,0.0,0.4,7,2,0.8176,1,0.9928429126739502
ParanewsTR,good morning jon were happy to further discuss your concerns please feel free to send us a dm for your security please dont include account information ec,jul 12 2023  120 pm utc,0.29,0.0,0.0,0.14,0.57,9,2,0.9423,1,0.9348505139350891
TDBank_US,good morning we saw your tweet and would like to review please send us a dm with more details and dont provide any account numbers please jared,aug 6 2023  1040 am utc,0.0,0.0,0.0,0.0,1.0,7,2,0.8402,0,0.8867396712303162
TDBank_US,hello breon wed like to help please feel free to send us a dm to discuss for your security please dont include account information ec,aug 6 2023  1004 am utc,0.2,0.0,0.0,0.0,0.8,7,2,0.926,0,0.7573472261428833
DalzellPastor,blessings 2 all 0823 my 72 birth anniversary i am asking a 100 gift from each giver help me survive this multiple myeloma cancer go2 gofundmerevbahadboye cancer survival and relocation fund or to laudrick dalzell paypal cashapp or zelle td bank na  thank u sincerely,aug 6 2023  924 am utc,0.25,0.0,0.0,0.0,0.75,6,1,0.743,1,0.9411082863807678
BloombergRadio,this never happens at td bank,aug 4 2023  1002 am utc,0.0,0.0,0.0,0.0,1.0,0,0,0.0,-1,0.826775312423706
AugustLion19,read before you sign dont just blame td bank employee you are also equally responsible to verify before you sign,aug 6 2023  915 am utc,0.0,0.0,0.0,0.2,0.8,0,-1,0.5165,0,0.7897655963897705
JM_IMO,1 milk 2 no fuck that noise  3 full on lobster babe  4 shower before bed preferably  5 i dont write checks babe td bank debit or straight cash hommie  6 soup  7 id have to think of a good one none of them come to mind tho,aug 6 2023  428 am utc,0.33,0.0,0.33,0.0,0.33,-1,1,-0.2263,-1,0.7743064761161804
