username,tweet_text,tweet_raw,date,happy,angry,surprise,sad,fear,afinn,bing,sid,bertweet,bertweet_confidence
TrueNorthCentre,an economist with scotiabank has blasted prime minister justin trudeaus immigration targets saying trudeaus immigration levels are causing high inflation levels tune into the daily brief with cosmindzs and newworldhominin  tncnews20230816dbtrude,An economist with Scotiabank has blasted Prime Minister Justin Trudeau’s immigration targets saying Trudeau’s immigration levels are causing high inflation levels.Tune into The Daily Brief with @cosminDZS and @NewWorldHominin !tnc.news/2023/08/16/db-trude…,aug 16 2023  500 pm utc,0.0,0.0,0.0,0.0,1.0,0,-1,0.0,-1,0.6163210868835449
ScotiabankArena,get your limited edition edgeratedr x mapleleafs shirt exclusively at wwe smackdown at scotiabank arena and at the shoprsapparel wwe pop up shop beginning at 12pm on friday august 18th,Get your limited edition @EdgeRatedR x @MapleLeafs shirt exclusively at @WWE Smackdown at Scotiabank Arena and at the @ShopRSApparel WWE Pop Up Shop beginning at 12pm on Friday August 18th! 💙,aug 16 2023  406 pm utc,0.0,0.0,1.0,0.0,0.0,-1,-1,-0.2263,0,0.9067230224609375
Smilejamtvj,tonya russell head of marketing caribbean north and central scotiabank discusses their longtime support of sports across the region and in jamaica,Tonya Russell Head of Marketing Caribbean North and Central Scotiabank discusses their long-time support of sports across the region and in Jamaica.,aug 16 2023  107 pm utc,0.0,0.0,0.33,0.0,0.67,2,1,0.4019,0,0.5530609488487244
TrueNorthCentre,an economist with scotiabank has blasted prime minister justin trudeaus annual target to bring in 500000 immigrants into canada each year as one of the pressures leading to inflation tncnews20230815trudeau,An economist with Scotiabank has blasted Prime Minister Justin Trudeau’s annual target to bring in 500000 immigrants into Canada each year as one of the pressures leading to inflation.tnc.news/2023/08/15/trudeau-…,aug 16 2023  405 am utc,0.0,0.0,0.0,0.5,0.5,0,0,-0.3182,-1,0.6849925518035889
LeafsAlumni,tributes for bob baun outside scotiabank arena this afternoon leafsforever,Tributes for Bob Baun outside Scotiabank Arena this afternoon#LeafsForever,aug 16 2023  954 pm utc,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.8208246827125549
CandiceMalcolm,trudeaus record immigration targets contributing to inflation scotiabank economist tncnews20230815trudeau via truenorthcentre,Trudeau’s record immigration targets contributing to inflation: Scotiabank economist tnc.news/2023/08/15/trudeau-… via @truenorthcentre,aug 17 2023  108 am utc,0.0,0.0,0.0,0.0,1.0,0,0,0.0,-1,0.5295143723487854
ARichCulture,role marketing manager caribbean north company yall fav bank scotiabank new providence  hybrid view job here linkedincomjobsview36961 to apply submit cv via email to hrbahamasscotiabankcom by august 31st 2023 include the position as the subject,Role: Marketing Manager Caribbean NorthCompany: Yall fav bank Scotiabank📍New Providence + HybridView Job Here: linkedin.com/jobs/view/36961…To apply submit C.V. via email to: hrbahamas@scotiabank.com by August 31st 2023. Include the position as the subject,aug 17 2023  301 am utc,0.0,0.0,0.0,0.0,1.0,0,2,0.4588,0,0.945106029510498
OntarioFarms,the countdown is on for ofa members near and surrounding shedden join us on friday for a member appreciation bbq cohosted by our benefit partner scotiabank stop by to meet your local ofa representatives and enjoy a complimentary lunch ontag,🚨The countdown is on for OFA members near and surrounding Shedden! Join us on Friday for a Member Appreciation BBQ co-hosted by our benefit partner@scotiabank. Stop by to meet your local OFA representatives and enjoy a complimentary lunch.🍔🌭#ontag,aug 16 2023  416 pm utc,0.33,0.0,0.0,0.0,0.67,6,3,0.9081,1,0.8310502767562866
itsprincehakeem,if you see at scotiabank arena for sza and drake back to back nights it wasnt me lol,If you see at scotiabank arena for Sza and Drake back to back nights it wasn’t me lol,aug 17 2023  227 am utc,0.0,0.0,0.0,0.0,0.0,3,0,-0.3252,0,0.663486659526825
yobrxxzy,wizkidayo mlle stadium arenas  auditorium tours 2023  tottenham stadium   80k montreal qc ca centre bell   21k washing dc capital one arena   20k scotiabank arena   19k barclays center arena   19k kia forum   175k state farm arena us,.@wizkidayo “MLLE” Stadium Arenas & Auditorium tours 2023 🏟️•Tottenham stadium 🇬🇧 — 80K✅•Montreal QC CA Centre Bell 🇨🇦 — 21K•Washing DC capital one Arena 🇺🇸 — 20K•Scotiabank Arena 🇨🇦 — 19K•Barclays center Arena 🇺🇸 — 19K•Kia Forum 🇺🇸 — 17.5K•State Farm Arena US…,aug 12 2023  1047 am utc,0.0,0.0,0.0,0.33,0.67,0,0,-0.6369,0,0.967549204826355
araghougassian,today i learnt that scotiabank arena an event center in toronto that can hold 20000 people is cooled by near freezing deep lake water from the closeby lake ontario this system reduce energy needs by 70 compared to traditional ac canadian engineering is so based,today i learnt that scotiabank arena an event center in toronto that can hold 20000 people is cooled by near freezing deep lake water from the close-by lake ontariothis system reduce energy needs by 70% compared to traditional AC!canadian engineering is so based 🍁,aug 15 2023  1145 pm utc,0.2,0.0,0.0,0.4,0.4,0,-1,0.1779,0,0.917183518409729
Dark_Emperorr,bwoyatingzafterdark hold on i just realized u said u did something with scotiabank how we didnt know excuse me video link site,#bwoyatingzafterdark hold on I just realized u said u did something with ScotiaBank. How we didnt know? Excuse me... video link site.,aug 17 2023  148 am utc,0.0,0.0,0.0,1.0,0.0,-1,-1,-0.0572,0,0.8233480453491211
roxieyourdream,apple pay is down right now,Apple Pay is down right now.,aug 17 2023  145 am utc,0.0,0.0,0.0,0.0,0.0,-1,1,-0.1027,-1,0.9669575095176697
GravitasMSN,add scotiabank shares to that story horror movie plot an investor buys a preferred share etf and holds for 10 years bnsca theglobeandmailcominvestin,Add Scotiabank shares to that story...Horror movie plot: An investor buys a preferred share ETF and holds for 10 years$BNS.catheglobeandmail.com/investin…,aug 17 2023  128 am utc,0.25,0.0,0.25,0.25,0.25,2,-1,-0.0772,0,0.7870833873748779
