username,tweet_text,tweet_raw,date,happy,angry,surprise,sad,fear,afinn,bing,sid,bertweet,bertweet_confidence
TheBerryEffect,at least everybody else lets you use the damn feature i mean wtf lol,At least everybody else lets you use the damn feature. I mean wtf!? Lol,aug 16 2023  707 pm utc,0.0,0.0,0.0,1.0,0.0,-5,-1,-0.5719,-1,0.6270835399627686
Shahboz2030766,they dont want to follow their own rules,They don’t want to follow their own rules,aug 16 2023  658 pm utc,0.0,0.0,0.0,0.0,1.0,1,0,-0.0572,-1,0.8885849714279175
Shahboz2030766,this bank is full of mess  like all of em i feel like,This bank is full of mess 😭 like all of em I feel like,aug 16 2023  658 pm utc,0.0,0.5,0.0,0.0,0.5,2,1,0.3612,-1,0.9813520312309265
TDBank_US,hello ant we would like to speak with you more about your concerns please send us a dm so we can learn more please do not share any account specifics raven,Hello Ant. We would like to speak with you more about your concerns. Please send us a DM so we can learn more. Please do not share any account specifics. -Raven,aug 16 2023  659 pm utc,0.0,0.0,0.0,0.14,0.86,5,0,0.6384,0,0.9106071591377258
Shahboz2030766,anyone having withdrawal problem with tdbank td tdbank,Anyone having withdrawal problem with TDBANK #TD #tdbank,aug 15 2023  1026 pm utc,0.0,0.0,0.5,0.0,0.5,-5,-1,-0.3818,0,0.8982523679733276
TheBerryEffect,if yall bank with tdbank_us and you have a small business account leave while you can they dont accept zelle payments even though zelle has given them the access td wont allow the feature to be utilized on the small business side so im taking my business elsewhere,If y’all bank with @TDBank_US and you have a Small Business account leave while you can. They don’t accept @Zelle payments. Even though Zelle has given them the access TD won’t allow the feature to be utilized on the Small Business side. So I’m taking my business elsewhere.,aug 16 2023  657 pm utc,0.0,0.0,0.17,0.0,0.83,1,0,-0.4678,-1,0.8144502639770508
TDBank_US,hi there we hear your concerns and ask you to reach out with any additional questions or concerns you may have please make sure to not include any account numbers in your response  tyler,Hi there. We hear your concerns and ask you to reach out with any additional questions or concerns you may have. Please make sure to not include any account numbers in your response. - Tyler,aug 16 2023  527 pm utc,0.0,0.0,0.0,0.62,0.38,2,-2,0.5719,0,0.9619912505149841
upperwestskates,is there something happening at tdbank_us on 109th and broadway possible situation been calling them non stop for over 30 minutes and no answer maybe they need a wellnesscheck,Is there something happening at @TDBank_US on 109th and Broadway? Possible situation? Been calling them non stop for over 30 minutes and no answer? Maybe they need a #wellnesscheck,aug 16 2023  527 pm utc,0.0,0.0,0.0,0.0,1.0,-2,0,-0.5267,-1,0.908764123916626
tradedny,loan image matt buggenhagen jason labriola  anthony colicino date 06282023 address 201 south james street market rome asset type retail lender td bank tdbank_us brokers jason l view post on instagram instagramcompcwa20kyyhgm,LOANIMAGE: Matt Buggenhagen Jason Labriola & Anthony ColicinoDATE: 06/28/2023ADDRESS: 201 South James StreetMARKET: RomeASSET TYPE: RetailLENDER: TD Bank (@TDBank_US)BROKERS: Jason L...View Post on Instagram: instagram.com/p/CwA20KYyhgm/,aug 16 2023  512 pm utc,0.0,0.0,0.0,0.2,0.8,2,0,0.3612,0,0.9660771489143372
DAJOURAMISTAD,all i need is 10 for the next two days for food and food only tdbank_us is not allowing me to access my funds without a debit card even though i supplied them with my id  social  now i have to wait until friday dajouramistad,All I need is $10 for the next two days for food and food only! @TDBank_US is not allowing me to access my funds without a debit card even though I supplied them with my ID & Social! 😒 now I have to wait until Friday $DAJOURAMISTAD!,aug 16 2023  422 pm utc,0.25,0.0,0.25,0.0,0.5,0,0,0.0,-1,0.931820809841156
