username,tweet_text,tweet_raw,date,happy,angry,surprise,sad,fear,afinn,bing,sid,bertweet,bertweet_confidence
Jerrycowensjr,the cdc fauchi none of them are interested in my cures i discovered so im bring it to the real people that give a fuk about earth planets this might help in space no one loves me cares about me or shouts out my inventions ill die a nobody scientists that helped the world,The CDC fauchi. None of them are interested in my cures I discovered. So Im bring it to the real people that give a fuk about earth planets. This might help in space? No one loves me cares about me or shouts out my inventions. Ill die a nobody scientists that helped the world.,aug 19 2023  818 pm utc,0.18,0.0,0.45,0.27,0.09,0,1,0.4939,-1,0.9630987048149109
TroySweezey,hows the ukrainian space program going better yet when is nasa going to attempt a moon landing or any action without russian elons help,How’s the Ukrainian space program going? Better yet when is NASA going to attempt a moon landing or any action without Russian elons help? 😂,aug 19 2023  730 pm utc,0.0,0.0,0.0,0.0,1.0,4,1,0.1635,0,0.9038248658180237
HaeseleerOle,nasa does not matter because you can check for yourself the earth is not flat on about 100 ways without spacex or whatever space company,Nasa does not matter because you can check for yourself the earth is not flat on about 100 ways. Without SpaceX or whatever space company.,aug 19 2023  729 pm utc,0.0,0.0,0.33,0.67,0.0,1,0,-0.0191,0,0.9134971499443054
Docneuroeo,how can we place our trust in nasa or the canadian space agency to unravel the ufo enigma when they struggle to distinguish between craters on earth and those on the moon nasa csa_asc esa,How can we place our trust in NASA or the Canadian Space Agency to unravel the UFO enigma when they struggle to distinguish between craters on Earth and those on the moon?🤦‍♀️🤦‍♀️@NASA @csa_asc @esa,aug 19 2023  643 pm utc,0.0,0.0,0.2,0.4,0.4,-1,-1,0.25,0,0.7464354038238525
csa_asc,i bet if he sold fords youd give up your tesla 2 politicians are marketers their sales pitch is all they have ya think he and they dont know exactly what you wanna hear 2 cell you on their eye deals nasa or space x  which one are ya sold on,I BET IF HE SOLD FORDS YOUD GIVE UP YOUR TESLA 2…???POLITICIANS ARE MARKETERS THEIR SALES PITCH IS ALL THEY HAVE…???YA THINK HE AND THEY DONT KNOW EXACTLY WHAT YOU WANNA HEAR 2 CELL YOU ON THEIR EYE DEALS…???NASA OR SPACE X ??? WHICH ONE ARE YA SOLD ON…???,aug 19 2023  1100 am utc,0.0,0.0,0.0,0.5,0.5,0,0,0.0,0,0.7620688676834106
Fate74267847,so real question for twitter will you ever put reader notes or whatever that crap is on any posts that say space and nasa are real,So real question for Twitter: will you ever put reader notes or whatever that crap is on any posts that say space and NASA are real?,aug 19 2023  606 pm utc,0.0,0.0,0.17,0.67,0.17,-3,-1,-0.3818,-1,0.735862135887146
SnorlaxRuns,my theory is that it is a very dense form of liquid or gas nasa keeps releasing sounds from different things in space at one point they said sound cant travel in vacuum  sound cant travel though a vacuum antimatter would theoretically annihilate matter on contact,My theory is that it is a very dense form of liquid or gas. NASA keeps releasing sounds from different things in space. At one point they said sound cant travel in vacuum & sound cant travel though a vacuum. Anti-matter would theoretically annihilate matter on contact.,aug 19 2023  604 pm utc,0.0,0.0,0.67,0.0,0.33,1,-2,0.0258,0,0.9327821731567383
LunaUmbra3,which do you want do you want to see our work in space using your own tool or do you want nasa to show you the earth from space pick one,Which do you want.Do you want to see our work in space using your own toolOr do you want NASA to show you the earth from space.Pick one.,aug 19 2023  540 pm utc,0.0,0.0,0.5,0.0,0.5,3,1,0.2263,0,0.9601423144340515
anotherbigmike,davidblaine real or magic with harrisonford  wethenorth nasa ytwhateveritworksorgrb0wzyxbwm slimentcom davidblaine stillness peace gratitude nasa space faith food travel health meditation success light magic love mentalhealth fitness nutrition,.@DavidBlaine: Real or Magic with #HarrisonFord - #WeTheNorth @NASAyt.whateveritworks.org/rB0wzy-xbwMSLIM-ENT.com#DavidBlaine #Stillness #Peace #Gratitude #NASA #Space #Faith #Food #Travel #Health #Meditation #Success #Light #Magic #Love #MentalHealth #Fitness #Nutrition,aug 19 2023  333 pm utc,0.12,0.0,0.38,0.5,0.0,9,7,0.9618,0,0.5218227505683899
EmceeSLIM,cmdr_hadfield good faith question sir i understand that nasa reasonably prohibits astronauts from participating in risky activities in the year prior to a mission flight to space is a document or list of those activities available to the public  a fellow can risk taker,@Cmdr_Hadfield Good faith question; Sir I understand that NASA reasonably prohibits astronauts from participating in risky activities in the year prior to a mission flight to space. Is a document or list of those activities available to the public ?. ...a fellow CAN risk taker.,apr 17 2022  357 am utc,0.0,0.0,0.33,0.0,0.67,2,2,0.4215,0,0.9381986856460571
CunningSmi1e,i just love the fact his entire apocalypse depends on the arrival of a rogue planet that is so large that it keeps causing extinction level events but so stealthy that no one at nasa or the european space agency or even just frank with his home telescope noticed it turning up,I just love the fact his entire apocalypse depends on the arrival of a rogue planet that is so large that it keeps causing extinction level events but so stealthy that no one at NASA or the European Space Agency or even just Frank with his home telescope noticed it turning up,aug 19 2023  102 pm utc,0.12,0.0,0.12,0.12,0.62,2,-1,-0.3253,0,0.5008156895637512
NASA,pencils check folders check space check nasastem has what you need to bring the spirit of exploration backtoschool this year from classroom resources to student challenges and real nasa science anybody can do with just a laptop or cell phone gonasagov3dzxeuw,Pencils? Check.Folders? Check.Space? Check!@NASASTEM has what you need to bring the spirit of exploration #BackToSchool this year from classroom resources to student challenges and real NASA science anybody can do with just a laptop or cell phone. go.nasa.gov/3DZXeUW,aug 16 2023  508 pm utc,0.0,0.0,0.0,0.75,0.25,2,0,0.4404,1,0.8348804116249084
Frank_Schaeffer,musk has lost touch ensconced in a distorted inner reality warping his perspective and threatening his businesses as he is trying to oversee multiple companies what the f has nasa done more or less handing our space program to this loser,Musk has lost touch ensconced in a distorted inner reality warping his perspective and threatening his businesses as he is trying to oversee multiple companies. WHAT THE F!*& HAS NASA DONE more or less handing our space program to this loser?,aug 19 2023  1055 am utc,0.0,0.0,0.0,0.6,0.4,-10,-4,-0.9081,-1,0.9657766819000244
MattLoszak,what would happen if a nuclear reactor were lit on fire dropped from 100 ft crashed at 400mph or intentionally blown up nasa wanted to find out as they planned to launch a reactor into space in the 60s which they did heres how it went  1n,What would happen if a nuclear reactor were lit on fire dropped from 100 ft crashed at 400mph or intentionally blown up?NASA wanted to find out as they planned to launch a reactor into space in the 60s (which they did!)Here’s how it went (🧶 1/n):,aug 15 2023  219 pm utc,0.0,0.0,1.0,0.0,0.0,-2,-1,-0.34,0,0.8759803771972656
earthcurated,nasa astronaut randy bresnik captured this footage of earth while working outside the international space station flat or round,NASA astronaut Randy Bresnik captured this footage of Earth while working outside the international space station.Flat or Round ?,aug 6 2023  901 pm utc,0.25,0.0,0.25,0.25,0.25,0,0,0.0,0,0.95514315366745
kayus74,nice onei wish we reach that stage remember when we are small reading books from our town library about space nasa and astronauts we always dream of being an astronaut or space technician on getting to ss3 will face with realityno nigeria university to study,Nice one..i wish we reach that stage.Remember when we are small reading books from our town library about space NASA and astronauts.We always dream of being an astronaut or space technician.On getting to ss3 will face with reality.No Nigeria university to study,aug 19 2023  847 am utc,0.33,0.0,0.0,0.33,0.33,6,1,0.765,1,0.5072062611579895
MichelVan4,yes in begin of 1970s nasa look in option on upper stage for titan iiic iiif and space shuttle that use fluorine or mixture out fluorine and oxygene flox,yes in begin of 1970sNASA look in option on Upper Stage forTitan IIIC IIIF and Space Shuttlethat use fluorine or mixture outFluorine and oxygene (FLOX).,aug 19 2023  806 am utc,0.0,0.0,0.0,0.0,1.0,1,0,0.4019,0,0.9134910106658936
OmMY200,i am not downplaying the pr updates of isro  as a space enthusiast whatever isro is doing right now is sufficient but when i look at people who dont have much knowledge about the space sector or isro projects instead they know a lot about nasa projects and their launches,I am not downplaying the PR updates of ISRO ! As a space enthusiast whatever isro is doing right now is sufficient but when I look at people who dont have much knowledge about the space sector or isro projects instead they know a lot about nasa projects and their launches !,aug 19 2023  709 am utc,0.33,0.0,0.0,0.33,0.33,0,3,0.1901,0,0.9282469749450684
AustenOnek,somewheredeepinthenight this image of the triangulumgalaxy or m33 includes data from the esa european space agency herschel mission supplemented with data from esas retired planck observatory and two retired nasa missions jplnasagovimagespage2t,#SomewhereDeepInTheNight This image of the #Triangulumgalaxy or #M33 includes data from the ESA (European Space Agency) Herschel mission supplemented with data from ESAs retired Planck observatory and two retired NASA missions.jpl.nasa.gov/images?page=2&t…,aug 19 2023  645 am utc,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.9481586217880249
sultan4448888,meet lonnie johnson an aerospace genius and patent powerhouse from nasa to your backyard water fights his inventive spirit transcends boundaries pure testament that innovation can be as profound as exploring space or as playful as a water gun genius knows no limits,Meet Lonnie Johnson an aerospace genius and patent powerhouse. From NASA to your backyard water fights his inventive spirit transcends boundaries. Pure testament that innovation can be as profound as exploring space or as playful as a water gun. Genius knows no limits!,aug 19 2023  635 am utc,0.11,0.0,0.33,0.44,0.11,1,6,-0.0258,1,0.986138641834259
victor_muteti,additionally have any new upgrades or instruments been prepared in the very remote case that a mission to upgrade hubble is approved,Additionally have any new upgrades or instruments been prepared in the very remote case that a mission to upgrade Hubble is approved?,aug 19 2023  628 am utc,1.0,0.0,0.0,0.0,0.0,3,0,0.5719,0,0.9582564830780029
Tigressfire1,guess whose name is going to be aboard the artemis for those who cant afford a ticket into space or be a real astronaut this is very cool artemis nasa,Guess whose name is going to be aboard the Artemis! For those who can’t afford a ticket into space or be a real astronaut this is very cool. #Artemis #NASA,jun 12 2022  458 pm utc,0.25,0.0,0.25,0.25,0.25,2,2,0.4005,1,0.9653404951095581
Kennedy_R_Us,those structures burning look like matchsticks nasa or someone needs to share a space shot of our burning earth havent seen any,Those structures burning look like matchsticks. NASA or someone needs to share a space shot of our burning earth. Havent seen any? ¿,aug 19 2023  306 am utc,0.0,0.0,0.25,0.5,0.25,3,-1,0.5719,0,0.5185803174972534
commonsense4eva,what about after those four years whose gonna keep or destroy all that work by president trump like space force and other things remember he had to save nasa the military jobs manufacturing the farmers,What about after those four years?Whose gonna keep or destroy all that work by President Trump like Space Force and other things?Remember he had to save Nasa?The Military?Jobs?Manufacturing?The Farmers?,aug 19 2023  257 am utc,0.0,0.0,0.33,0.0,0.67,1,2,0.296,0,0.7951653599739075
DocAVK,same in eyes intracranial separate this chamber on two part from soft membrane with or without fenestra one part with fluid and one fluid or gas membrane edges is fixated on the walls could you measure the intraocular intracranial pressure flow rate fluid is cns protect,Same in eyes intracranial? Separate this chamber on two part from soft membrane with or without fenestra. One part with fluid and one fluid or gas. Membrane edges is fixated on the walls. Could you measure the intraocular (intracranial) pressure flow rate? Fluid is CNS protect,aug 19 2023  249 am utc,0.25,0.25,0.0,0.25,0.25,0,2,0.1027,0,0.9766395688056946
da13thsun,now devils and hollywood make aliens evil because edom wasnt welcome in heavenly space not even lower hell above earth lmmfa bwhahaha     russia was welcome to build space stations not usa or eu nasa nations spiritual truth of elohyim hurts,Now Devils and Hollywood make Aliens Evil because EDOM wasnt welcome in Heavenly Space NOT even lower HELL above EARTH lmmfa bwhahaha 😂 😂 😂 😂Russia was welcome to build Space Stations NOT USA or EU NASA nations.Spiritual Truth of ELOHYIM HURTS,oct 12 2021  1145 am utc,0.25,0.0,0.25,0.25,0.25,-1,1,-0.9105,-1,0.9685555100440979
Both_Sides_Suck,elonmusk if you had a better control over bots on the platform i wouldnt give a shit about you disabling blocks until that happens please rethink this decision look at every space x or nasa post i cant block fast enough,@elonmusk if you had a better control over bots on the platform I wouldn’t give a shit about you disabling blocks. Until that happens please rethink this decision. Look at every space x or NASA post I can’t block fast enough.,aug 19 2023  1253 am utc,0.0,0.0,0.33,0.0,0.67,-4,2,0.6736,-1,0.9488112330436707
francis_craven,im not a flat earther although im not wholly convinced of anything nasa not a space agency says or produces why fake anything if it were real though,Im not a flat earther although Im not wholly convinced of anything NASA (not a space agency) says or produces. Why fake anything if it were real though?,aug 19 2023  1232 am utc,0.0,0.0,0.0,1.0,0.0,-2,-1,-0.6551,0,0.6693199276924133
Ops_Cannoli,id like to be there in person to help learn and give suggestions or opinions but you all definitely wouldnt allow that,Id like to be there in person to help learn and give suggestions or opinions but you all definitely wouldnt allow that.,aug 18 2023  1043 pm utc,0.0,0.0,0.0,0.0,1.0,5,1,0.6311,-1,0.773202121257782
SubcommanderT,whatever you may think of nasas mission it and original trek had many connections there have been many smart brave and capable people inspired to go into space where the danger is not klingons or time warps but the immense technical challenges of just staying alive end,Whatever you may think of NASA’s mission it and original Trek had many connections. There have been many smart brave and capable people inspired to go into space where the danger is not Klingons or time warps but the immense technical challenges of just staying alive./end,aug 18 2023  448 pm utc,0.14,0.14,0.0,0.0,0.71,5,3,0.85,1,0.8517258763313293
FuriousKnight50,sounds like a made up theory or if its real then when bethesda went to space x and nasa they learned about different theories of what aliens could be,sounds like a made up theory or if it’s real then when bethesda went to space x and nasa….. they learned about different theories of what aliens could be.,aug 18 2023  950 pm utc,0.0,0.0,0.0,0.67,0.33,2,1,0.3612,0,0.9478785991668701
JormaTakala,it fooled someone into thinking it was a comet because physicists tend to forget fluid dynamics behavior in the varying temperatures of space 200 near mars but further out the temps could be 450 or more 37k or lower we dont know because we havent been there,it fooled someone into thinking it was a comet because physicists tend to forget fluid dynamics behavior in the varying temperatures of space -200 near mars but further out the temps could be -450 or more 3.7K or lower we dont know because we havent been there!,aug 18 2023  914 pm utc,0.0,1.0,0.0,0.0,0.0,-1,-1,-0.5988,0,0.7991081476211548
anotherbigmike,or not actors at all,Or not actors at all 👍,aug 18 2023  911 pm utc,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,0.7650083899497986
CashMalonee,so they dont navigate space or the sea seems like nasa is the ones losing credibility celestial navigation has existed since the pre dynastic era that why the pyramids were lined in with the stars,So they don’t navigate space or the sea. Seems like NASA is the ones losing credibility. Celestial Navigation has existed since the pre dynastic era. That why the pyramids were lined in with the stars.,aug 18 2023  906 pm utc,0.0,0.0,0.0,0.5,0.5,-1,0,-0.0258,-1,0.7593560814857483
DeAiDave,remember back in 1999 or so nasa launched a satellite to harvest magnetic energy from earths field but then an si  imperial unit error caused it to fly off into space,Remember back in 1999 or so NASA launched a satellite to harvest magnetic energy from earth’s field but then an SI - Imperial unit error caused it to fly off into space?,aug 18 2023  857 pm utc,0.0,0.0,0.25,0.25,0.5,-1,-1,-0.384,0,0.92677903175354
GuzzlingBooze,all these images do is prove what we all know nasa can put things on the moon this image doesnt prove man was ever there the decent stage could easily have been remotely landed like surveyor ive no issue with this image or indian space program at all,All these images do is prove what we all know. NASA can put things on the moon. This image doesnt prove man was ever there. The decent stage could easily have been remotely landed like Surveyor. Ive no issue with this image or Indian space program at all.,aug 18 2023  846 pm utc,0.0,0.0,0.25,0.12,0.62,1,1,0.4019,0,0.7907801270484924
nuttyskadork,horrifying you can literally see the fire cross the lake it was only a few spots last night note  this is nasa space imagery so it can also detect high heat from smoke or industrial flares,Horrifying. You can literally see the fire cross the lake. (It was only a few spots last night)Note : this is nasa space imagery so it can also detect high heat from smoke or industrial flares.,aug 18 2023  808 pm utc,0.0,0.6,0.0,0.0,0.4,-2,-3,-0.7269,0,0.5497457981109619
AbdulBadwan,would be cool if we can control these space planet rovers from our smart phones or tablets like using a userfriendly mobile telescope,Would be cool if we can control these space planet rovers from our smart phones or tablets. Like using a user-friendly mobile telescope.,aug 18 2023  804 pm utc,1.0,0.0,0.0,0.0,0.0,4,3,0.7579,1,0.8504629731178284
33Leonard33,if the carbon cycle is similar to earths then i would guess yes nasa says it transferred heat to cooler atmospheres releasing it ultimately into space go figure are these climate guys du mb or what they didnt look just made it up a tell is how sure they are without proof,If the Carbon cycle is similar to earths then I would guess yes.NASA says it transferred heat to cooler atmospheres releasing it ultimately into space.Go figure.Are these climate guys du mb or what? They didn’t look. Just made it up. A tell is how sure they are without proof,aug 18 2023  751 pm utc,0.0,0.0,0.5,0.25,0.25,1,0,0.6124,0,0.8901600241661072
pilotbeac0n,has space command ever said they see ufos in space or are uaps only sighted in the atmosphere close to radar and other manmade tech has nasa made any comment,has space command ever said they see UFOs in space- or are UAPs only sighted in the atmosphere close to radar and other man-made tech? has NASA made any comment?,aug 17 2023  755 pm utc,0.5,0.0,0.0,0.5,0.0,0,0,0.0,0,0.9703003168106079
iamlydiashi,loli highly doubt your statementdid you know that nasa use russian engines in their space shuttlesbesides wether nuclear tech was stolen or not they still have more nukes than us5880 vs 5200 the bias against russia blind people to facts,…Lol!….i highly doubt your statement….did you know that NASA use Russian engines in their space shuttles?….besides wether nuclear tech was stolen or not they still have more nukes than US…..5880 vs 5200. The bias against Russia blind people to facts.,aug 18 2023  711 pm utc,0.0,0.0,0.5,0.0,0.5,-5,-4,-0.8439,-1,0.7965542078018188
Blaziken1014,why dont we get nasa to send elon musk on a one way trip to mars that way hell be blocked by both twitter and the earth theres no internet or wifi on mars or in outer space so this plan is perfect we just need to hire a new and better ceo for twitter,Why don’t we get NASA to send Elon Musk on a one way trip to Mars? That way he’ll be blocked by both Twitter and the Earth. There’s no internet or Wi-Fi on Mars or in outer space so this plan is perfect. We just need to hire a new and better CEO for Twitter.,aug 18 2023  622 pm utc,0.0,0.0,0.2,0.6,0.2,-1,1,-0.3182,0,0.6742133498191833
sergioa94679493,the terrestrial globe is a three dimensional representation of the earth and an image captured from outer space would display a complete view of the planet without parts that are hidden or invisible the picture should not only capture north america,The terrestrial globe is a three dimensional representation of the earth and an image captured from outer space would display a complete view of the planet without parts that are hidden or invisible. The picture should not only capture North America!,aug 18 2023  621 pm utc,0.4,0.2,0.2,0.0,0.2,0,-1,0.0,0,0.931674063205719
lynndukes,nasa  is this the type of representation america deserves in space technologies promoting nazi fascists and domestic terrorists certainly cant meet the requirements of any insider threat programs or collaboration agreements houstonwehaveaproblem nasaoig,@NASA - is this the type of representation America deserves in space technologies? Promoting nazi fascists and domestic terrorists certainly cant meet the requirements of any Insider Threat Programs or collaboration agreements...#HoustonWeHaveAProblem@NASAOIG,aug 18 2023  558 pm utc,0.0,0.0,0.0,0.0,1.0,-3,-1,-0.5106,-1,0.9698936343193054
CNN,nasa also has an incalculable educational benefit the inspiration effect how many children in schools around the world decide to study highly important stem fields because they want to play some kind of role astronaut or otherwise in the space program,NASA also has an incalculable educational benefit: the inspiration effect. How many children in schools around the world decide to study highly important STEM fields because they want to play some kind of role (astronaut or otherwise) in the space program?,aug 17 2023  1030 am utc,0.29,0.0,0.14,0.0,0.57,9,3,0.8805,1,0.9067929983139038
vegannasafan,can you try to partner with nasa somehow to get nasa some ways to make more space research without being blocked by presidential appointee orders or is it impossible nasa needs to start flowing as you do,Can you try to partner with nasa somehow to get nasa some ways to make more space research without being blocked by presidential appointee orders or is it impossible nasa needs to start flowing as you do,aug 18 2023  510 pm utc,0.0,0.0,0.0,0.5,0.5,-1,-1,0.2057,0,0.882963240146637
Thitch16506,it is nice your opinion however is irrelevant when it comes to proof or evidence,It is nice. Your opinion however is irrelevant when it comes to proof or evidence,aug 18 2023  346 pm utc,0.33,0.0,0.0,0.0,0.67,3,0,0.4215,0,0.7938326001167297
ufocoinofficial,as far as i read they wanted to postpone the publication for a month or os cause they want to include their space sensors  satellites to search for anomalous phenomena anyway expectations on this nasa study should not be set too high they will keep lying imo,As far as I read they wanted to postpone the publication for a month or os- cause they want to include their space sensors (= satellites) to search for anomalous phenomena.Anyway expectations on this NASA study should not be set too high! (they will keep lying IMO),aug 18 2023  301 pm utc,0.0,0.0,0.25,0.0,0.75,0,-2,-0.6124,-1,0.6517286896705627
SalmanA85319383,are you working in space center or nasa etc,Are you working in Space center or Nasa etc ???,aug 18 2023  156 pm utc,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0,0.9562311172485352
urwa_2005,nasa ny pehla space mission 300kb internet speed py pora kiyh tah or ek ham pakistani hai 500kbs per second py assignment be upload ni hoti,Nasa ny pehla space mission 300kb internet speed py pora kiyh tah or ek ham pakistani hai 500kbs per second py assignment be upload ni hoti,aug 18 2023  1253 pm utc,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.975573718547821
ncspacegrant,ncspacegrant proudly announces its 202324 graduate research fellows fourteen graduate students are conducting stem research to benefit nasa commercial space or the space_station congrats fellows ncspacegrantncsuedu20230,@ncspacegrant proudly announces its 2023-24 graduate research fellows. Fourteen graduate students are conducting STEM research to benefit @NASA commercial space or the @Space_Station. Congrats fellows!ncspacegrant.ncsu.edu/2023/0…,aug 17 2023  623 pm utc,0.5,0.0,0.0,0.0,0.5,6,1,0.875,1,0.9862820506095886
HelenRaines11,gravity does not exist  neither does your precious outer space or your imaginary planets these are all things invented by the satanic nasa agency and all to turn us away from christ it looks to have worked on the foolish  unwise,Gravity does not exist & neither does your precious outer space or your imaginary planets. These are all things invented by the satanic NASA agency and all to turn us away from Christ. It looks to have worked on the foolish & unwise.,aug 18 2023  1213 pm utc,0.0,0.33,0.33,0.0,0.33,-2,-1,-0.6246,-1,0.8182086944580078
aldriL1,imagine the star link satellites moving in a strait as if on a mission nasa liars and space x xcancel dragon fire or heat these guys are lying to give you internet but the goal is to break the firmament,Imagine the star link satellites moving in a strait as if on a missionNASA (liars) and space X (X=cancel) dragon( fire or heat)These guys are lying to give you internet but the goal is to break the firmament,aug 18 2023  1118 am utc,0.0,0.0,0.5,0.0,0.5,-5,-3,-0.6249,-1,0.5813525319099426
TopMr,they went to the future 200th seconds or so,They went to the future 200th seconds or so,aug 18 2023  1117 am utc,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.9541127681732178
noblebutts,there are no real photos of earth or any part of it from space nasa has never been there,There are no real photos of earth or any part of it from space. NASA has never been there.,aug 18 2023  911 am utc,0.0,0.0,0.5,0.5,0.0,-1,0,-0.296,0,0.767922580242157
jacobsjapan,days on mars are getting shorter but scientists dont know why spacecommarsspinningfast nasas insight mission has provided the puzzling discovery on planets rotation rate standard day on mars or sol is 24hrs  37mins  getting shorter nasa space,Days on Mars are getting shorter but scientists dont know why: space.com/mars-spinning-fast… NASAs InSight mission has provided the puzzling discovery on planets rotation rate. Standard day on Mars or sol is 24hrs & 37mins & getting shorter. #NASA #Space,aug 18 2023  743 am utc,0.4,0.0,0.2,0.0,0.4,0,-1,0.0,0,0.719741702079773
