username,tweet_text,tweet_raw,date,happy,angry,surprise,sad,fear,afinn,bing,sid,bertweet,bertweet_confidence
7enrgy,this oshawaves guy is the goat,this oshawaves guy is the goat,09/03/2023,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0,0.6428995132446289
DumbsYT,briar is balanced,BRIAR IS BALANCED 💀,09/03/2023,0.0,0.0,0.0,0.0,1.0,0,1,0.0,0,0.9021657705307007
ladyofmorh,would you hold my hand  leagueoflegends briar artoflegends,Would you hold my hand #LeagueOfLegends #Briar #ArtofLegends,09/03/2023,0.0,0.0,0.0,0.0,0.0,0,0,0.4939,0,0.7710983753204346
LeagueHardstuck,little rengar needs help to get down   league of legends leagueoflegends,Little Rengar needs help to get down 😾⬇️ - League of Legends #LeagueOfLegends,09/03/2023,0.0,0.0,0.0,0.0,0.0,2,0,0.3477,0,0.9572486281394958
LoLUKN,whos planning to become a briar main,Whos planning to become a Briar main? 🥩,09/03/2023,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.9686352610588074
mooncakephel,it looks nothing like her like at all like i look more like soraka than this splash art,it looks nothing like her like at alllikei look more like soraka than this splash art 😭,09/03/2023,0.0,0.0,0.0,0.0,0.0,8,4,-0.7536,-1,0.6155065894126892
Riloyoy,ill double this silly creatures ahoge size if we reach 2 likes   briar,Ill double this silly creatures ahoge size if we reach >>2 likes<< !! 🩸🩸#Briar,09/02/2023,0.0,0.0,0.0,0.0,1.0,0,0,0.0516,0,0.5346468687057495
AyArts2D,new champion briar  leagueoflegends artoflegends lol fanart lolfanart wildrift riotgames briar briarlol,New champion Briar!#LeagueOfLegends #ArtofLegends #lol #fanart #lolfanart #wildrift #RiotGames #Briar #briarlol,09/03/2023,1.0,0.0,0.0,0.0,0.0,3,1,0.7717,0,0.6474429965019226
bleepbloop1000,crocheting is my new league of legendsim angry 90 of the time,crocheting is my new league of legends…….i’m angry 90% of the time😎👍🏻,09/03/2023,0.0,1.0,0.0,0.0,0.0,-3,-1,-0.5106,0,0.6019821166992188
R1ckyDC,no one would know playing league of legends eliminates all opportunities to get laid,No one would know playing league of legends eliminates all opportunities to get laid,09/03/2023,0.5,0.0,0.0,0.0,0.5,1,0,0.296,-1,0.5253732204437256
LynnDavies_15,tough loss yesterday for briar cliff football love this pic of luke and claire so great to sophia and her family join us on cheering on luke and the team jake davies we will see you later this season what a heck of game for the university wyoming cowboys,Tough loss yesterday for Briar Cliff Football.Love this pic of Luke and Claire💙💛So great to Sophia and her Family join us on cheering on Luke and the Team.Jake Davies we will see you later this season🤎💛 What a heck of game for the University Wyoming Cowboys!,09/03/2023,0.5,0.0,0.17,0.0,0.33,6,1,0.9208,1,0.9606454968452454
murillomags,tutorial de como fazer splashart pique league of legends,TUTORIAL DE COMO FAZER SPLASHART PIQUE LEAGUE OF LEGENDS,09/03/2023,0.0,0.0,0.0,0.0,0.0,-2,-1,-0.2732,0,0.9272679090499878
briarfleur,hiii i have one i might be selling its way more than fv bc i bought resale and found a better ticket but dm me,hiii!! I have one I might be selling! it’s way more than fv bc I bought resale and found a better ticket but dm me!,09/03/2023,0.0,0.0,0.0,0.0,1.0,2,1,0.2382,0,0.6776785254478455
briarfleur,hiiii i have one i might be selling its way more than fv bc i bought resale and found a better ticket but dm me,hiiii!! I have one I might be selling! it’s way more than fv bc I bought resale and found a better ticket but dm me!,09/03/2023,0.0,0.0,0.0,0.0,1.0,2,1,0.2382,0,0.6530125141143799
JensenGohLoL,ive solved the strategic elements of league of legends  gms if youre looking for a coach who can  instill fundamentals  unite team identity  creatively solve metas  adapt to constraints  im the top guy for the job  lft any region i will bring you to worlds,Ive solved the strategic elements of League of LegendsGMs if youre looking for a coach who can- Instill fundamentals- Unite team identity- Creatively solve metas- Adapt to constraintsIm the top guy for the jobLFT any region I will bring you to worlds,09/03/2023,0.0,0.0,0.29,0.14,0.57,4,1,0.7351,1,0.9228160381317139
briarfleur,hii i have one i might be selling its way more than fv bc i bought resale and found a better ticket but dm me,hii!! I have one I might be selling! it’s way more than fv bc I bought resale and found a better ticket but dm me!,09/03/2023,0.0,0.0,0.0,0.0,1.0,2,1,0.2382,0,0.7128823399543762
Vominhtuan_Kin,briar wip its gonna be a loooong run briar leagueoflegends leagueoflegendsfanart,Briar WIPIt’s gonna be a loooong run!#Briar #LeagueOfLegends #LeagueOfLegendsFanArt,09/03/2023,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.7984809875488281
LukwerX,creditos fan art briar  askies02,Creditos Fan art Briar - ASkies02,09/03/2023,0.0,0.0,0.0,0.0,0.0,3,0,0.3182,0,0.9415396451950073
