username,tweet_text,tweet_raw,date,happy,angry,surprise,sad,fear,afinn,bing,sid,bertweet,bertweet_confidence
maegurwen,after analysis it seems its a cheese and tomato pizza with curly fries and turkey dinosaurs with what looks to be apple pie bites but im not 100 sure lightly cremated like the combo just not on a pizza  1,After analysis It seems its a cheese and tomato pizza with curly fries and turkey dinosaurs with what looks to be apple pie bites but Im not 100 sure lightly cremated.Like the combo just not on a pizza. - 1.,11/20/2023,0.0,0.0,0.0,0.0,1.0,2,2,0.204,0,0.9556699395179749
Esport_CanadaPS,here are the groups for the upcoming ecps canadian esports nationals for overwatch 2  two teams out of each group advance to the playoff round which two teams do you have advancing which team do you think will take the crown,Here are the groups for the upcoming ECPS Canadian Esports Nationals for Overwatch 2!Two teams out of each group advance to the playoff round. Which two teams do you have advancing? Which team do you think will take the crown?,11/18/2023,0.33,0.0,0.67,0.0,0.0,0,0,0.0,0,0.9325984120368958
MHaskells,im sorry i missed the part where hasan actually educates himself with anything,Im sorry I missed the part where Hasan actually educates himself with anything,11/20/2023,0.0,0.0,0.0,1.0,0.0,-3,-2,-0.3612,-1,0.8807060718536377
OctaneCollege,finally rounding out the week 4 scores  its group k vs l   alabamaesports sorority row  esports_gcu oreo  nuesports   esportsmcgill   fullsailarmada,Finally rounding out the Week 4 Scores - Its Group K vs L!🥇 @AlabamaEsports Sorority Row🥈 @Esports_GCU Oreo🥉 @NUEsports 🏅 @EsportsMcGill 🏅 @FullSailArmada,11/15/2023,0.0,0.33,0.33,0.0,0.33,0,0,0.0,0,0.961060643196106
PaulBMcGill,sunny side up as they say youegg,Sunny side up as they say #YouEgg.,11/20/2023,1.0,0.0,0.0,0.0,0.0,0,0,0.4215,0,0.5529203414916992
engineers_feed,open the bloom of your heart and become a gift of beauty to the world  bryant mcgill,“Open the bloom of your heart and become a gift of beauty to the world.”- Bryant McGill,11/18/2023,0.33,0.0,0.0,0.33,0.33,2,2,0.7717,1,0.9591710567474365
dvorahfr,mcgill university on the other side gender on the other side of the dichotomy relative to sex try logic,McGill University. On the other side. Gender on the other side of the dichotomy relative to sex. Try logic.,11/19/2023,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.9394273161888123
NoCisgender,or as we know it home,Or as we know it. Home 🇳🇿,11/20/2023,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0,0.9515202045440674
AlTaylorNZ,cockblocked me it cockdelayed you,cockblocked ME it cockdelayed You.,11/19/2023,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,0.8982647657394409
engineers_feed,they need every bit of good news right now too,They need every bit of good news right now too,11/18/2023,0.0,0.0,0.0,0.0,0.0,3,2,0.4404,1,0.544223427772522
PaulBMcGill,jesus x judas ship name doublecross is this anything,jesus x judas ship name doublecross is this anything,11/20/2023,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0,0.9606658220291138
erebedragons,some good news at last for alliance pandasport bendooley8 deane_ag paulbmcgill deanrabbidge grant_farquhar   southland ribeye steak judged best in the world rnzconznewsnational5028,Some good news at last for #Alliance@Pandasport @BenDooley8 @deane_ag @PaulBMcGill @deanrabbidge @grant_farquhar Southland ribeye steak judged best in the world rnz.co.nz/news/national/5028…,11/19/2023,0.0,0.0,0.0,0.0,0.0,6,2,0.7964,1,0.9865257740020752
JamesMc36900858,yummy wish i could luck you out xx,Yummy wish i could luck you out xx,11/20/2023,1.0,0.0,0.0,0.0,0.0,7,1,0.8442,1,0.9829580187797546
HensleyJed11170,get prizes in my profile,Get prizes in my profile 📍,11/20/2023,0.0,0.0,0.0,0.0,1.0,0,0,0.4588,0,0.6573931574821472
HendrixGri32675,get launch in my profile,Get launch in my profile 💰,11/20/2023,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.9485482573509216
snoopymoding,this isnt the worst youve gotten from me,this isn’t the worst you’ve gotten from me,11/20/2023,0.0,0.0,0.0,1.0,0.0,-3,-1,0.5096,-1,0.9561122059822083
wulterwhut,not according to article 517 of the geneva conventions you twat hamas knows the consequences of using civilian infrastructure as terror bases,Not according to Article 51(7) of the Geneva Conventions you twat. Hamas knows the consequences of using civilian infrastructure as terror bases,11/20/2023,0.0,0.0,0.0,0.5,0.5,-8,-1,-0.8316,-1,0.9608984589576721
SkinnyTuna,im autistic about    my wife  my special interest is her smile my stim is texting her pictures of clouds  my melting down is when her phone battery dies     my special interest is her laugh,im autistic about    my wife . My special interest is her smile. my stim is texting her pictures of clouds . My melting down is when her phone battery dies   .  my special interest is her laugh,11/19/2023,0.43,0.0,0.29,0.14,0.14,5,0,0.9477,1,0.6672351956367493
prezoh,the fact that gen z is trying to cancel eminem is really pissing me off,the fact that gen z is trying to cancel eminem is really pissing me off,11/20/2023,0.0,1.0,0.0,0.0,0.0,-4,0,-0.6115,-1,0.9757205247879028
Groguthebabu,you sure its all good man  jimmy mcgill,“You sure it’s all good man?”Jimmy McGill:,11/20/2023,0.0,0.0,0.0,0.0,0.0,3,1,0.6369,0,0.9076714515686035
snoopymoding,love when youre talking to the dog and he goes in jump mode,love when you’re talking to the dog and he goes in jump mode,11/20/2023,0.5,0.0,0.5,0.0,0.0,3,1,0.6369,1,0.9850737452507019
