username,tweet_text,tweet_raw,date,happy,angry,surprise,sad,fear,afinn,bing,sid,bertweet,bertweet_confidence
FontesRanter,you probably just never noticed it then just keep playing lol,You probably just never noticed it then just keep playing lol,01/05/2024,0.0,0.0,0.0,0.0,1.0,3,0,0.5574,0,0.895914614200592
Mari_Sjeje,michael jackson saving a kid from tom hanks on epstein island,Michael Jackson saving a kid from Tom Hanks on Epstein Island,01/04/2024,0.5,0.0,0.0,0.0,0.5,0,0,0.0,0,0.7861084938049316
hembssssss,this extremely homoerotic sword fight between basil rathbone and errol flynn in the adventures of robin hood 1938,this EXTREMELY homoerotic sword fight between basil rathbone and errol flynn in the adventures of robin hood (1938),01/04/2024,0.0,0.0,0.0,0.5,0.5,1,0,-0.1189,0,0.9409620761871338
webst0rm,what 4 months on t do to a mf,what 4 months on T do to a mf,01/05/2024,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1,0.7588667869567871
mari_gznie,too many leaders out there,Too many leaders out there,01/05/2024,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.4990156590938568
tempodotco,i gotta draw this one day,i gotta draw this one day,01/05/2024,0.5,0.0,0.0,0.0,0.5,0,0,0.0,0,0.846074104309082
DriftingMari,first wednesday of 2024 and its time to bring back wednesdaysforwater   today im going to reintroduce myself   im mari im 16 years old and from flint mi for half of my life i have been fighting for clean water for my hometown and now the entire country,First Wednesday of 2024 and its time to bring back #WednesdaysForWater. Today im going to reintroduce myself. Im Mari Im 16 years old and from Flint MI. For half of my life I have been fighting for clean water for my hometown (and now the entire country).,01/05/2024,0.0,0.0,0.0,0.6,0.4,2,1,0.0516,1,0.7726355195045471
mari_ring_,now im stuck w you this love might b true,now i’m stuck w you this love might b true 😂😂🩷,01/05/2024,0.5,0.0,0.0,0.0,0.5,1,0,0.7184,0,0.7971478700637817
F3Aquitaine,heromariweek2024 day 4  love language  acts of service     omorifanart omoriheromari omori spoilers,#heromariweek2024 day 4 - love languageacts of service 🪦 [ #omorifanart #omoriheromari omori spoilers ],01/05/2024,0.5,0.0,0.5,0.0,0.0,3,1,0.6369,0,0.7100066542625427
Memakker,woke up to 3 palestinian doctors tweeting this maybe their last tweet as israeli tanks are surrounding the hospital i seriously cant believe the world hasnt moved at all and has allowed israel absolute impunity to continue their slaughter,woke up to 3 palestinian doctors tweeting this maybe their last tweet as israeli tanks are surrounding the hospital… i seriously can’t believe the world hasn’t moved at all and has allowed israel absolute impunity to continue their slaughter,01/04/2024,0.0,0.0,0.0,0.0,1.0,0,-3,-0.1779,-1,0.9739872217178345
Paliefer3,cant believe ppl have seen this masterpiece live,Can’t believe ppl have seen this masterpiece live,01/04/2024,0.0,0.0,1.0,0.0,0.0,4,1,0.7073,1,0.8787307739257812
ILOSTINMYWORLD,ya i miss her  but now nt time to told  let see,Ya I miss her !! But now nt time to told !! Let see !!,01/05/2024,0.0,0.0,0.0,1.0,0.0,-2,-1,-0.0772,0,0.9118056893348694
kangguru,hadiir kak mari sinii   wa for fast response sidwayocca,hadiir kak mari sinii 🙆🏻‍♀️ wa for fast response: s.id/WAyocca,01/05/2024,0.0,0.0,0.0,1.0,0.0,0,1,0.0,0,0.6656627058982849
KryssyLaReina,i would never leave,I would never leave,01/04/2024,0.0,0.0,0.0,0.0,0.0,-1,0,0.0382,0,0.711786150932312
ElCicerone_,basilomori omori omorifanart another version of catbasil,#basilomori #OMORI #OMORIFANART Another Version! Of Cat-Basil!!!,01/04/2024,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.920721173286438
SAEKIyouthK,eat,eat,09/23/2023,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0,0.8803843855857849
vividBasil1430,games can be fun when theres no one tellling me how bad the game actually is and how im not actually having fun,games can be fun when theres no one tellling me how bad the game actually is and how im not actually having fun,01/05/2024,1.0,0.0,0.0,0.0,0.0,4,1,0.2263,-1,0.5366004109382629
pinkjaemss,jaemin who has reached 7 years of his career but still has 0 individual schedule in 2023 comes in last rank out of nct member sadly hes the one of member who always attract new fans thats totally insane,jaemin who has reached 7 years of his career but still has 0 individual schedule in 2023. comes in last rank out of nct member. sadly hes the one of member who always attract new fans. thats totally insane,01/05/2024,0.0,0.0,1.0,0.0,0.0,-2,-1,-0.6416,0,0.5460860133171082
1THHURBANCO,hey you get back on track,Hey you….. Get back on track !,01/03/2024,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0,0.7361736297607422
LittleMissFlint,first wednesday of 2024 and its time to bring back wednesdaysforwater   today im going to reintroduce myself   im mari im 16 years old and from flint mi for half of my life i have been fighting for clean water for my hometown and now the entire country,First Wednesday of 2024 and its time to bring back #WednesdaysForWater. Today im going to reintroduce myself. Im Mari Im 16 years old and from Flint MI. For half of my life I have been fighting for clean water for my hometown (and now the entire country).,01/04/2024,0.0,0.0,0.0,0.6,0.4,2,1,0.0516,1,0.7726355195045471
cafefiorentini,coming out stupid silly lighthearted sunflower comic i thought about hope you all enjoy  omori omorifanart omorisunny basilomori omorisunflower sunflower  14,🌻Coming out🌻Stupid silly lighthearted sunflower comic i thought about. hope you all enjoy.#OMORI #OMORIFANART #omorisunny #basilomori #omorisunflower #sunflower (1/4),01/05/2024,0.4,0.0,0.2,0.0,0.4,2,-1,0.6808,1,0.9035483598709106
updatespercy,happy 15th birthday to walker scobell,Happy 15th Birthday to Walker Scobell.,01/05/2024,1.0,0.0,0.0,0.0,0.0,3,1,0.5719,1,0.990407407283783
The_FirstTake,the first take    out at            today        2200   pipedvideowh9vbql9ibg   sixtones_sme   thefirsttake,⠀ THE FIRST TAKE⠀ ⠀ ⠀ OUT AT ⠀         TODAY     ⠀ ⠀ 22:00▶︎ piped.video/wh9VBQL9ibg・@SixTONES_SME・#THEFIRSTTAKE,01/05/2024,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.9612385630607605
simplebonjours3,future agreement situation information rule mission wear765511,Future agreement situation information rule mission wear.765511️😕️,01/05/2024,0.0,0.0,0.0,0.0,1.0,1,0,0.4939,0,0.9757224917411804
HHJCentral,hyunjin hall of fame at gda with an eyebrow piercing,Hyunjin Hall of Fame at GDA with an eyebrow piercing 😵‍💫,01/05/2024,0.0,0.0,1.0,0.0,0.0,1,1,0.4404,0,0.9067944884300232
fatfatpankocat,she got moused,She got moused,01/05/2024,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.6829507350921631
basil_chu,then wherererere  i literally have never seen it,THEN WHERERERERE!? 😭 i literally have never seen it,01/05/2024,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.6299219727516174
vinayvaddeswara,ganagleaderfist 5 cr   pedharayudu first 10 cr  narasimhanaidu first 20 cr   indhra first 30 cr   pokiri first  35cr  arundhathi first 40 cr  even i love power starmari ibtha erripuku post lu veyaku,Ganagleader.....fist 5 cr Pedharayudu first 10 crNarasimhanaidu first 20 cr Indhra first 30 cr Pokiri first  35crArundhathi first 40 crEven I love power star....mari ibtha erripuku post lu veyaku....,01/05/2024,0.5,0.5,0.0,0.0,0.0,3,1,0.6369,1,0.9527660012245178
marimypace,i saw that bitch carrinazs,I SAW THAT BITCH @carrinazs,01/05/2024,0.0,0.0,0.0,0.0,0.0,-5,-1,-0.5859,-1,0.9794551134109497
MrMariae,a new carpet shampooer just robbed me for 180 im sick,A new carpet shampooer just robbed me for 180 I’m sick,01/05/2024,0.0,0.0,0.0,1.0,0.0,-2,-1,-0.5106,-1,0.974320113658905
Pamso29,u so pretty meow meow,u so pretty meow meow,01/05/2024,1.0,0.0,0.0,0.0,0.0,1,1,0.5413,1,0.9326003789901733
M4R1SS4M,first wednesday of 2024 and its time to bring back wednesdaysforwater   today im going to reintroduce myself   im mari im 16 years old and from flint mi for half of my life i have been fighting for clean water for my hometown and now the entire country,First Wednesday of 2024 and its time to bring back #WednesdaysForWater. Today im going to reintroduce myself. Im Mari Im 16 years old and from Flint MI. For half of my life I have been fighting for clean water for my hometown (and now the entire country).,01/05/2024,0.0,0.0,0.0,0.6,0.4,2,1,0.0516,1,0.7726355195045471
zhanghao_ina,the great kitkat argument of 2022,The great kitkat argument of 2022,01/05/2024,0.5,0.0,0.0,0.0,0.5,3,1,0.3818,0,0.8990474343299866
FilmUpdates,a repost will be cherished   𐂯  hello earthlings im here to present you my bio wording ready stock you can claim and buy it via dm __   idr 35oo via qris   aku juga open request detail katalog cek pinned ya mari jajan    tags   zonauang,⠀a repost will be cherished 🥞🎀𐂯 … hello earthlings! im here to present you my bio wording ready stock! you can claim and buy it via dm ♡__♡💰 IDR. 35OO via QRIS📃 : aku juga open request! detail katalog cek pinned ya mari jajan! 💭💗★ tags : { #zonauang }⠀,01/04/2024,0.17,0.17,0.17,0.0,0.5,2,2,0.7003,1,0.6259766817092896
vintagepuro,hayabusa  jinsei shinzaki x yoshihiro takayama  takao omori so cool  visually captivating to see two strong teams in there with completely different looks  styles awesome match 641999,Hayabusa & Jinsei Shinzaki x Yoshihiro Takayama & Takao Omori. So cool & visually captivating to see two strong teams in there with completely different looks & styles. Awesome match. (6.4.1999) 🌟,01/05/2024,0.75,0.0,0.25,0.0,0.0,7,4,0.8858,1,0.9867655038833618
D_1andOnly_,if i might tell you joke but ill never tell you a lie was a person,If I MIGHT TELL YOU JOKE BUT ILL NEVER TELL YOU A LIE was a person,01/04/2024,1.0,0.0,0.0,0.0,0.0,0,-2,-0.4767,0,0.8934133052825928
Maribanzz1,thank you,Thank you 🙏🏾,01/05/2024,0.0,0.0,0.0,0.0,0.0,2,1,0.3612,1,0.8548363447189331
ManleyTea,heromari week day 3 flowers    heromariweek heromariweek2024 omori omorifanart omoriheromari heromari omorihero omorimari heroomori mariomori,Heromari Week Day 3: Flowers...@heromariweek #heromariweek2024 #omori #omorifanart #omoriheromari #heromari #omorihero #omorimari #heroomori #mariomori,01/04/2024,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.9254952073097229
LaysaNiaa,you bitches tooo ong,You bitches tooo ong,01/05/2024,0.0,0.0,0.0,0.0,0.0,-5,0,-0.5994,-1,0.9633162617683411
yiyieeen,sometimes reject sale is backkkk mari shopping bag lawa lawaaaaa  date 5  7 january 10am  10pm atria shopping mall event hall level 1,Sometime’s Reject Sale is backkkk! Mari shopping bag lawa lawaaaaa.Date: 5 - 7 January 10am - 10pm📍Atria Shopping Mall (Event Hall Level 1),01/04/2024,0.0,0.0,0.0,0.0,1.0,-1,0,-0.4019,0,0.9406319260597229
